type	typeName	facet	quality_score	quality_max	quality_level	title	content
D	Decision		5	5	strong	Day 3 morning: refactored /connect to accept WS upgrade unconditionally and close with PROTOCOL §6 codes (4001/4002/4005), wired 4500 catch-all in DO, extended 4400 to header validation	Refactored worker/src/index.ts handleConnect to accept the WS upgrade as soon as Upgrade: websocket is present, then route to either the ConversationDO (success path) or wsCloseResponse(code, reason) (failure path). resolveConnect() returns either {payload} or {error: {code, reason}} per PROTOCOL §6: 4001 invalid_magic_link for missing/invalid 't' query param OR invalid permissive token; 4002 invalid_credential for missing Authorization header OR invalid bearer; 4005 conversation_not_found for alias-miss OR conversation-record-miss; 4400 invalid_stream_name_header / invalid_stream_metadata_header for header-shape errors. worker/src/conversation.ts wraps fetch() in try/catch with wsClose(4500, "internal_error") and wraps handleMessage's switch in try/catch closing the connection with 4500 on unexpected throws. Brings the implementation into compliance with PROTOCOL §4.1 ("Server response on failure: WebSocket close with one of the codes in §6") which the prior HTTP 401/404 path did not satisfy. Confidence: established (spec-driven). Alternatives considered: (i) leave as HTTP — rejected as spec-noncompliant; (ii) loosen PROTOCOL to allow either form — rejected as it weakens the contract. Reversibility: two-way. Disconfirmer: if the WS-close path produces worse client UX than HTTP for some non-WS caller, revisit. Verified via examples/two-agents/test-close-codes.mjs — 8/8 PASS against local wrangler dev (4001×2, 4002×2, 4005, 4400×2, 4004 all fire with correct reason strings).
D	Decision		5	5	strong	Day 3 morning: chose stdio MCP server in Node (examples/two-agents/mcp-server.mjs) for SPEC §3.1 items 4+5, NOT the hosted SessionDO at /mcp	Built examples/two-agents/mcp-server.mjs as a stdio JSON-RPC 2.0 MCP server exposing the six AMS tools (ams_create_conversation, ams_join, ams_send, ams_set_metadata, ams_leave, ams_recv) and pushing notifications/ams/{token,stream_metadata,stream_joined,stream_left,closed} per ams://canon/constraints/mcp-wrapper-conformance-for-conversational-ai. ams_recv is the buffered degradation path (1000-event budget with truncated flag). Confidence: working belief, supported by D0012 framing of "MCP runtime" as the abstraction (browser, claude.ai, Claude Code, Claude Desktop, AND local stdio Claude Code subprocess all qualify) + POC-PLAN.md §2 Day 3 morning explicit "small Node script (or Claude Code tool definition)" + POC-PLAN.md §3 putting "Any client SDK beyond example scripts" on the non-work list. Alternatives considered: (i) hosted SessionDO at /mcp — rejected as 2-3 day build that exceeds Day 3 scope; (ii) bare-wire only — rejected because SPEC §3.1 items 4+5 explicitly require MCP. Reversibility: two-way. Adding hosted /mcp later does not break the local stdio server; stdio remains a valid runtime alongside it. Disconfirmer: if Claude Code cannot drive the stdio MCP server through items 4+5, the call was wrong. Verified: 12/12 PASS in examples/two-agents/test-mcp-pair.mjs (initialize, six tools surfaced, ams_create_conversation returns magic_link, ams_join from second bearer, peer-token push within 5s, D0009 self-exclusion on the MCP path, ams_recv parity, bidirectional, ams_leave).
D	Decision		5	5	strong	Day 3 morning: deferred PROTOCOL §6 codes 4003 (per-account concurrency) and 4290 (subscriber backpressure)	Confidence: working belief. Alternatives: (i) implement 4003 with KV-backed per-account stream counter — rejected because KV is eventually consistent and per-DO state is the right abstraction (which doesn't compose across conversations); a proper implementation needs Workers Queues or DO-of-DOs and is post-PoC; (ii) implement 4290 with bufferedAmount sampling — rejected because workerd bufferedAmount semantics on hibernated WebSockets are not documented stably enough for a PoC commitment; PROTOCOL §6 itself uses "may" for 4290 ("the server may close the connection"), making it explicitly optional in v1. Reversibility: two-way (codes remain reserved in PROTOCOL §6, additive when implemented). Disconfirmer: if PoC traffic surfaces concurrency abuse (someone runs 1000 streams) or buffer-overflow on slow subscribers, the deferral was wrong. Documented in examples/two-agents/README.md "out of scope" section.
O	Observation		4	4	strong	Audit confirmed: per-account stream ownership IS structurally enforced on emit with no code change needed	Each WebSocket connection has exactly one stream binding (server-generated stream_id at handleConnect line 77) and one account binding (server-resolved account_id from the bearer at connect, payload.account_id). The token handler in worker/src/conversation.ts:158-181 uses conn.account_id and the connection's stream_id for the broadcast — neither is settable by the client frame. There is no path to "emit on a stream you do not own" because there is no path to address another stream from a connection. Per ams://canon/decisions/D0003 (per-account stream ownership) and D0009 (stream-as-primitive), this matches the wire model exactly. Day 2 closeout L row mis-stated the gap; the audit refutes it.
O	Observation		4	4	strong	Audit confirmed: stream_joined and stream_left frames match PROTOCOL §4.2 schema verbatim	worker/src/conversation.ts:113-119 (stream_joined emitted to existing peers when a new stream attaches) and :201-206 (stream_left emitted to remaining peers when a stream's WS closes/errors). stream_joined includes type, stream_id, stream_name, owner_account_id, metadata; stream_left includes type, stream_id, stream_name, owner_account_id. Both observed at the wire level by examples/two-agents/two-agents.mjs (klappy receives stream_joined when ian connects; klappy receives stream_left when ian closes). No code change needed.
L	Learning		4	4	strong	wrangler dev (3.114.17) does NOT respect Host: headers from local clients	Wrangler dev injects the route binding's host (ams.klappy.dev in this Worker) into request.headers.get('host') regardless of the actual Host: header sent by the client. Practical implication: a local-dev client cannot drive a magic_link whose host matches the local URL (the magic_link is built from request.headers.get('host') in worker/src/conversations.ts:158, so it always reads ams.klappy.dev locally). Workaround in examples/two-agents/ams-client.mjs: when AMS_HOST env var is set, substitute the magic link's origin with AMS_HOST before connecting. The magic link is opaque per PROTOCOL §2, so this substitution is a dev-only convenience and is documented as such in the inline comment. Production clients treat the magic link's host as the host of record.
L	Learning		4	4	strong	Node 22's built-in global WebSocket constructor does NOT accept custom headers — must use ws@8 for /connect from Node	Node 22 exposes `WebSocket` globally but the constructor signature matches the browser API (URL + subprotocols only). Custom headers — including the Authorization header AMS requires on /connect — are not accepted. To set Authorization on the WS upgrade from Node, use the `ws` npm package (which exposes a `headers` option in its WebSocket constructor) or undici's WebSocket via the dispatcher API. Built-in WebSocket alone is not sufficient. examples/two-agents/package.json takes ws@^8 as the only dependency. This corroborates D0012's "JavaScript outside a browser context (Node, Deno, Bun) can still hit /connect directly because those runtimes' WebSocket implementations support arbitrary headers" — but only with the right runtime API; the browser-shaped global is not it.
C	Constraint		3	4	adequate	PROTOCOL §6 close-code 4400 is now stretched to cover "malformed connect header"	The spec defines 4400 as "Malformed frame." This Day 3 implementation maps invalid X-AMS-Stream-Name and invalid X-AMS-Stream-Metadata header validation failures to close 4400 with reason strings invalid_stream_name_header and invalid_stream_metadata_header. The semantic stretch is defensible (the connect headers are part of the handshake which IS the first wire interaction, so "malformed handshake input" is morally a malformed-frame case), but a future SPEC v1.1.2 may want to allocate a separate code (e.g., 4006 or 4400.1) for header-shape errors so client error-handling can distinguish them from frame-shape errors. Flag for the next doc-patch PR; not blocking.
C	Constraint		4	4	strong	Day 3 verification was local-only (wrangler dev) — fresh validator MUST re-run examples/two-agents/test-*.mjs against the live deploy	examples/two-agents/test-close-codes.mjs (8/8 PASS) and examples/two-agents/test-mcp-pair.mjs (12/12 PASS) ran against http://127.0.0.1:8787 (wrangler dev) only — this build session has no network egress to ams.klappy.dev or ams.truthkit.ai. The fresh-session validator MUST re-run both scripts against the production Worker after the Day 3 PR merges. Specifically: AMS_HOST=https://ams.klappy.dev node test-close-codes.mjs && node test-mcp-pair.mjs, AND the same with AMS_HOST=https://ams.truthkit.ai for D0011 host-parity at the close-code + MCP-wrapper layer. If any close code does not fire with the same code+reason pair captured locally, that is a regression worth its own iteration. The two-agents.mjs demo also exercised the §3.2 demo gate locally (PASS); validator should run it against both deployed hosts.
H	Handoff		4	4	strong	Day 3 morning closed; Day 3 afternoon partially shipped; v0.1.0 tag + live-deploy validation handed to fresh validator	This session's output is one PR on branch claude/agent-messaging-day3-hAf2w with three concern groups: (1) worker/ close-code refactor (worker/src/index.ts + worker/src/conversation.ts + worker/.dev.vars for local dev); (2) examples/two-agents/ new directory (package.json, ams-client.mjs, two-agents.mjs, mcp-server.mjs, test-mcp-pair.mjs, test-close-codes.mjs, README.md); (3) docs (README.md "Use the Deployed Instance" section + canon/principles/poc-build-repeatability-pattern.md governance article + this journal file). SPEC.md is NOT changed — implementation moves toward the existing spec, no D0007 spec-PR-first conflict. Per AGENTS.md mode discipline, validation MUST happen in a fresh session; this builder cannot validate its own work. Fresh validator should: (a) read this build journal + 2026-05-02-day1-validation-closeout.tsv + 2026-05-02-day2-validation-closeout.tsv; (b) clone the merged main fresh and run examples/two-agents/{two-agents.mjs,test-mcp-pair.mjs,test-close-codes.mjs} against AMS_HOST=https://ams.klappy.dev AND AMS_HOST=https://ams.truthkit.ai; (c) re-verify SPEC §3.1 items 1+2+3 still pass on the live deploy with the new close-code logic (the items 1+2 control plane is unchanged; item 3 still passes because successful connects take the same path as before — only the failure-mode taxonomy moved); (d) run oddkit_validate against this entire ship; (e) cut tag v0.1.0 from the merged commit IF validation produces ACCEPT (do NOT tag from this build session per validation-requires-fresh-context). The four v1.1.2 doc-accuracy items from the Day 2 closeout C row remain open and are NOT in this PR (per Day 2 H artifact's directive to defer them to their own dedicated patch PR after Day 3 ships).
