type	typeName	facet	quality_score	quality_max	quality_level	title	content
D	Decision		5	5	strong	AMS adopts tokens — not messages — as the unit of transmission	AMS adopts tokens — not messages — as the unit of transmission. Three reasons: cognition (agents already emit and consume tokens; the wire should match the cognitive unit), streaming (tokens stream natively, messages require a buffering boundary that does not exist in agent cognition), and layering (bytes are too low and force AMS to reinvent serialization; messages are too high and force an envelope opinion the protocol should not own). Tokens land at exactly the right altitude. Fan-out becomes trivial as a consequence: one emission, N subscribers, no replication logic.
D	Decision		5	5	strong	AMS uses "Conversation" — not "Room" — as the coordination surface	AMS uses "Conversation" — not "Room" — as the name for the coordination surface where streams are bound and subscribers attach. Room is spatial and static; the actual primitive is temporal and dialogical (a thing that happens in time, with participants, with directionality). Conversation matches the streaming-tokens-as-discourse model. All docs use Conversation; Room is retired and added to the "do not use" list in the glossary.
D	Decision		5	5	strong	The magic link is a URL, not an opaque blob	The magic link is a URL, not an opaque blob. Reference shape: https://<host>/<namespace>/conversations/<alias>?t=<permissive-token>. Three benefits: discovery is solved trivially (the URL is the address), account-scoped paths make ownership visible and eliminate global-namespace collision, and the URL can be shared via any out-of-band channel (Signal, email, QR code, voice). Clients treat the URL as opaque from the protocol's perspective; URL structure is a deployment-side choice that other AMS implementations may differ on without breaking conformance.
D	Decision		5	5	strong	Two doors at registration: permissive token + account credential	Two doors at registration: the magic link's permissive token authorizes Conversation admission ("you may attach a stream and read this conversation"), and the account credential authorizes Stream ownership ("you are who you say you are; this stream is bound to your account"). Distinct concerns, distinct credentials, layered cleanly.
D	Decision		5	5	strong	AMS owns exactly two layers of the agentic stack	AMS owns exactly two layers of the agentic stack: the Conversation+Stream coordination surface, and the Account+Identity layer needed to bind stream ownership. Everything else — identity beyond account, capability negotiation, authorization policies beyond the two-door minimum, observability, job coordination, queues, registry, federation — lives above AMS as separately-built layers. This is the vodka contract.
D	Decision		5	5	strong	The inverted-inbox model is foundational	The inverted-inbox model is foundational: subscribers own their writes, not their reads. You write to your stream; nobody else can write there. Other subscribers in the conversation read your stream by being in the conversation. There is no inbox, no spam vector, no permission grant to revoke at the message level. Either you share a conversation with someone or you do not.
D	Decision		5	5	strong	Subscribers are polymorphic	Subscribers are polymorphic. The protocol does not check what kind of entity is on the other end of a connection. Reasoning agents, Cloudflare Workers, queues, observability adapters, IoT devices, humans with curl — all participate identically. The cleverness lives in subscribers; the dumbness lives in AMS.
D	Decision		5	5	strong	Reference implementation stack: Cloudflare Worker + DO + KV	Reference implementation stack for the PoC: Cloudflare Worker for HTTP/WebSocket edge and URL routing; one Durable Object per Conversation holding the stream registry, WebSocket connections, and broadcast loop; KV for account directory and alias→conversation_id mapping. WebSocket as the initial transport (declared swappable). UUID-only conversation identifiers in the PoC.
C	Constraint		4	4	strong	Vodka contract: AMS will never opine on these layers	AMS will never take an opinion on: identity scheme above the account ID, authorization policy beyond the two-door minimum, token format (opaque bytes), transport choice (WebSocket today, swappable), queue/coordinator above it, registry topology (centralized/federated/distributed), pricing dimension on hosted instances, or URL structure used by other implementations. This list is the contract — anything proposed gets checked against it.
C	Constraint		3	4	adequate	PoC scope hard limit: end of next week	PoC scope hard limit: end of next week. Demo definition of done is the hackathon-replay scenario — Klappy's agent and Ian's agent each with their own account, exchanging tokens through a shared magic-link URL with no copy-paste and no human in the wire. Any feature not strictly required to make that scenario work is explicitly out of scope (no expiry, no ACLs, no replay, no federation, no JCS-SHA, no SDK, no UI).
C	Constraint		3	4	adequate	Reference implementation size budget: under 300 lines	Reference implementation size budget: under 300 lines of Worker + Durable Object code combined. The point of the PoC is that the foundation is obviously not the interesting part.
L	Learning		4	4	strong	The hackathon copy-paste experience proved the gap empirically	The hackathon copy-paste experience proved the gap empirically. Two reasoning systems with arbitrary bandwidth were bottlenecked through two humans operating a clipboard for forty minutes. Every byte of agent-to-agent communication routed through fingertips, eyeballs, and a chat app built for people. The experience is the origin story and the test case.
L	Learning		4	4	strong	Token streaming is native; AMS just removes the wire that broke it	Token streaming is not a feature AMS adds; it is the native behavior of every agent we want to talk to. Models already emit token streams. AMS just removes the wire that previously demanded a complete message before transmission. The protocol shape matches what the agents already do.
L	Learning		4	4	strong	One-to-many fan-out is the trivial case in AMS	One-to-many fan-out is the trivial case in AMS, not a special mode. A model emits its token stream once; N subscribers all receive it in real time without any replication logic in the protocol. This is a property of the streaming-tokens model, not a feature we built — but it explains why the protocol generalizes naturally to coordinator agents, loggers, UIs, and downstream workers all listening to the same stream.
L	Learning		4	4	strong	Cloudflare services are first-class subscribers, not competition	The right framing for Cloudflare's services in AMS positioning is not competition but composition. Cloudflare services (Workers, Durable Objects, Queues, Logpush, Analytics Engine) are first-class subscribers in AMS conversations. Anyone building on AMS gets immediate access to the Cloudflare ecosystem as plug-in subscribers. Avoids a positioning trap where AMS appears to overlap with Cloudflare's own infrastructure pitches.
O	Observation		4	4	strong	The opinionated-stack agent infrastructure market is young but funded	The opinionated-stack agent infrastructure market is young but funded. Mem Zero raised $16M for agent memory. Several other vendors are in flight on identity, observability, orchestration. None of them is building the dial-tone foundation the others all need. The window to be the foundation is open and measured in weeks, not months.
O	Observation		4	4	strong	Existing messaging substrates are uniformly human-shaped	Existing messaging substrates (Slack, Discord, Matrix, Mastodon, Email, SMS) are uniformly human-shaped — built around presence, threading, mentions, archival semantics, and inboxes. Stripping out the human assumptions to repurpose them for agent-to-agent comms is a bigger project than building the agent-native version from scratch.
O	Observation	open	4	4	strong	Magic link revocation is unimplemented in the PoC	Magic link revocation is unimplemented in the PoC. Once issued, a link works forever. Unknown whether expiry needs to ship pre-launch of the hosted instance or can wait for first user demand.
O	Observation	open	3	4	adequate	Conversation persistence after last subscriber disconnects is undecided	Conversation persistence after the last subscriber disconnects is undecided. PoC default is evaporate. Production may need a pinning option, especially for conversations that should survive scheduled subscriber rotation.
O	Observation	open	4	4	strong	Stream replay for late-joining subscribers is undecided	Stream replay for late-joining subscribers is undecided. PoC default is from-now-only. Some use cases (audit, recovery from disconnection) will want replay; cost and storage model TBD.
O	Observation	open	4	4	strong	JCS-SHA derived conversation identifiers are deferred to post-PoC	JCS-SHA derived conversation identifiers are deferred to post-PoC. Canonicalization scope (what JSON shape gets hashed), namespace ownership of derived IDs, and collision semantics need a separate design pass before the feature ships.
O	Observation	open	4	4	strong	Federation across AMS instances is unsolved	Federation across AMS instances is unsolved. Two brokers, one conversation. Probably needs a federation protocol layer that does not exist yet. Not in PoC scope.
O	Observation	open	4	4	strong	Spec ownership model is unresolved	Spec ownership model is unresolved. Is AMS a Covenant project, an open standard with a Covenant reference implementation, or both? PoC ships under Covenant; the open-standard question remains.
H	Handoff		4	4	strong	Repository klappy/agent-messaging-service prepped, awaiting GitHub push	Repository klappy/agent-messaging-service is prepped locally with two commits: e20bc7f (initial set) and bbd317d (vocabulary and address-model refinement). Awaiting `gh repo create klappy/agent-messaging-service --public --source=. --remote=origin --push` from Klappy's machine to land on GitHub.
H	Handoff		4	4	strong	Post-PoC governance article + gauntlet pass + v0.1.0 tag	After the PoC demo lands, the Monday-afternoon block is reserved for: the governance article that captures the build process for repeatability across future verticals; an oddkit gauntlet pass (orient/challenge/encode) for any new foundational decisions surfaced during implementation; and tagging v0.1.0.
E	Encode		1	2	weak	AMS = Agent Messaging Service	AMS = Agent Messaging Service. Acronym deliberately echoes SMS — primitive, ubiquitous, dumb-pipe substrate. The echo is at the acronym level only; SMS carries messages, AMS carries tokens, for the cognition/streaming/layering reasons above. We are not selling phones; we are selling the dial tone.
