type	typeName	facet	quality_score	quality_max	quality_level	title	content
O	Observation		5	5	strong	Operator-as-validator caught a layer-separation gap that same-session oddkit_challenge missed	After PR #28 was opened with the iterated participation-replaces-integration principle, the operator surfaced that "Linux and other open inverted models won in a different way." Re-examining the principle's counter-examples section showed that Facebook, iOS App Store, and enterprise SSO had been framed as "cases where closed beat open," but the actual shape of those cases is closed-wins-at-the-experience-layer-while-open-wins-at-the-substrate-layer. iOS holds distribution; the web underneath it is open and won. Okta holds the IdP product; SAML and OIDC underneath are open and won. Gmail holds deliverability; SMTP underneath is open and won. The principle's framing as "counter-examples" was structurally wrong — these are evidence of layer separation, not exceptions to the substrate pattern. The corrected framing makes the AMS bet stronger, not weaker: agent-comms is structurally substrate (software-on-both-ends, no end-user network effects), so the substrate-wins pattern applies cleanly.
L	Learning		5	5	strong	Tooled validation surfaces prerequisite-shaped gaps; operator validation surfaces frame-shaped gaps	oddkit_challenge runs against a generic checklist of prerequisites (counter-examples cited? retraction conditions named? prior art acknowledged?) and reliably catches gaps along those axes. It cannot evaluate whether the framing of those prerequisites is correct. The principle's first iteration added counter-examples that satisfied the prerequisite while framing them in a way that weakened the thesis rather than strengthening it. Operator validation caught the framing error in one sentence — a kind of catch tooled validation is structurally not designed for. The two validators are complementary: oddkit_challenge surfaces what categories of pressure-test the doc has not engaged; operator-as-validator surfaces whether the doc has engaged them honestly. Neither substitutes for the other.
L	Learning		5	5	strong	The strongest substrate-layer evidence for the AMS thesis is Linux/Git/Kubernetes, not SMTP/HTTP alone	The original principle drafted three substrate-layer wins (SMTP, HTTP, federated chat) as the historical pattern. The infrastructure-protocol cases (TCP/IP killing IPX/AppleTalk/NetBEUI; DNS, SSH, JSON, Markdown) and the development-infrastructure cases (Git killing BitKeeper; Apache/nginx winning the web server market; PostgreSQL/MySQL winning new-development databases; Kubernetes beating AWS's own proprietary container orchestration so completely that AWS now ships EKS) are equally strong evidence and considerably more recent and well-known to developer audiences. The Linux case in particular — won the server, the cloud, the supercomputer, embedded, and the mobile kernel, while not winning the consumer desktop — is the cleanest demonstration of the layer-separation rule. The amended principle now leads with these as the central pattern, with email/web/chat as additional examples.
L	Learning		5	5	strong	"This is a hypothesis" hedging weakened a claim that the evidence actually supports	The first iteration's framing — "agent-comms might escape this trap, hypothesis not certainty" — was epistemic humility applied where the evidence does not warrant it. The substrate-layer pattern is well-evidenced across many decades and many categories. Agent-comms is structurally substrate. The claim "the substrate-wins pattern applies to agent-comms" is not a hopeful guess; it is a straightforward application of a well-evidenced rule. Hedging where evidence is strong is a different failure mode than overclaiming where evidence is weak, but it is a failure mode. The amended principle replaces the hedge with the layer-separation rule and asserts the application directly.
C	Constraint		5	5	strong	Substrate-layer claims should cite Linux/Git/Kubernetes as primary evidence; SMTP/HTTP are supporting cases	When AMS canon or marketing surfaces invoke the historical pattern of open substrates winning, the lead examples should be Linux (operating systems), Git (version control), Kubernetes (container orchestration), and TCP/IP (network protocols) — these are the most recent, most well-known to developer audiences, and most clearly demonstrate the substrate-vs-experience layer split. SMTP, HTTP, DNS, SSH are supporting evidence. Omitting Linux/Git/Kubernetes from any substrate-layer historical-pattern argument leaves the strongest evidence on the table.
H	Handoff		5	5	strong	PR #28 amended on branch; force-push or new commit pushes update to the open PR	Edits applied via str_replace to canon/principles/participation-replaces-integration.md: (1) outline updated; (2) "The Historical Pattern: Email, Web, Chat" rewritten as "The Historical Pattern: Substrates That Won" — added TCP/IP, Linux, Git, Apache/nginx, PostgreSQL/MySQL, Kubernetes as substrate-layer wins; (3) "Counter-Examples and What Makes Agent-Comms Structurally Different" rewritten as "Layer Separation: Where Open Wins, Where Closed Holds" — reframed Facebook/iOS/SSO/post-SMTP cases as evidence of layer separation, not as counter-examples; (4) "The Slow-Win Acknowledgment" sharpened to invoke Linux/Git/Kubernetes timescales as the pattern's actual speed. Net change: weakened "this is a hypothesis" hedge replaced with stronger "substrate-wins pattern applies because agent-comms is structurally substrate" claim. Commit pushed to the existing branch; PR #28 updated automatically.
H	Handoff	open	4	5	strong	Multi-brand strategy may shift from four candidates to three based on operator clarification	Operator surfaced after PR #28 was open: "I need to build three products and then see the patterns and adapt over time and learn from them. Not try to be all things to all people at product level and fail them all." This may be a refinement of D0022's portfolio sizing (four → three) or rhetorical phrasing. Not encoded into D0022 in this PR; flagged for next planning session. If three is the literal commitment, D0022 should be amended to specify which three are the initial set and why the fourth is dropped (or which axis is dropped from the portfolio).
H	Handoff	open	4	5	strong	AMS as prerequisite for "the" MCP server layer — context not yet encoded	Operator surfaced: "this was the prerequisite before I could build 'the' MCP server layer." This frames AMS as substrate-for-deeper-MCP-product-work rather than as a standalone end. The implication for canon is that there is at least one named downstream product (the MCP server layer the operator intends to build) that depends on AMS being viable. This may belong as canon (a successor decision describing the MCP-layer product and its dependence on AMS) or as journal context. Not encoded in this PR; flagged for next planning session.
E	Encode		5	5	strong	canon/principles/participation-replaces-integration.md amended for layer-separation framing	Three sections rewritten in canon/principles/participation-replaces-integration.md: outline, historical pattern, counter-examples-now-layer-separation, slow-win acknowledgment. Net effect: the principle's central claim is now "open wins at the substrate layer; closed often holds at the experience layer; agent-comms is structurally substrate, therefore the Linux pattern applies." This is a stronger claim than the previous framing and is supported by more and more-recent evidence. The amendment was operator-prompted; same-session oddkit_challenge did not surface the layer-separation gap, but the operator did in one sentence — recorded as L for the validation-design improvement.
E	Encode		5	5	strong	journal/2026-05-04-ams-pr28-amend-layer-separation.tsv committed	This journal entry. OLDC+H+E records of the operator-as-validator catch and the amendment that closed the framing gap before PR merge.
