D	Switched audit-gate substrate from CF Worker + Anthropic API key to GHA runner + anthropics/claude-code-action@v1 + subscription OAuth	Per klappy://canon/methods/spawned-agent-session-substrate-options §Mixing Tools Across Vendors §The Subscription Inclusion Lever, claude-code-action authenticated against an Anthropic Pro/Max/Team/Enterprise subscription via CLAUDE_CODE_OAUTH_TOKEN consumes inference under the subscription's included usage rather than billing pay-per-token. AMS is a public repo, so GHA runner minutes are free. The prior substrate (Cloudflare Worker + @anthropic-ai/sdk + ANTHROPIC_API_KEY at /audit-gate-test) and its predecessor (Anthropic Managed Agents via tools/audit-via-agent.py) both billed inference at API rates — ~$50/day on Managed Agents, $21 spent in one day on the new Worker. Substrate-runtime cost on GHA for this repo is structurally $0. Expected inference cost: zero up to subscription limits, then API rates if overflow enabled. PR delivers the switchover atomically: new audit-gate-cca.yml reusable workflow, three persona-shaped gate jobs in gates.yml retargeted at it, legacy Worker + Managed-Agents dispatcher deleted. The audit task itself (canon-at-runtime via oddkit, persona-shaped per ams://canon/personas/{ams-canon-code-auditor,ams-oddkit-gauntlet-runner,ams-output-artifact-validator}, structured verdict per the persona output_schema) is unchanged.
D	Added a self-hosted Bugbot peer workflow on the same substrate	bugbot.yml runs anthropics/claude-code-action@v1 in two jobs. The `review` job auto-fires on every PR open/sync/reopen/ready_for_review and posts non-gating code-review comments via sticky-comment + inline-comment MCP. The `respond` job fires on @claude trigger phrases in PR comments, review comments, and review submissions, and on PRs labeled `bugbot:fix`; it uses claude-code-action's intelligent mode detection to choose between answering and pushing fix commits. Reviewing scope is general code quality (correctness, security, API contracts, tests, perf) — explicitly NOT canon governance (the audit gates own that). The pattern intentionally mirrors Cursor Bugbot but using the operator's own Anthropic subscription instead of a third-party SaaS billing relationship.
D	Deleted worker/src/runtime/audit-gate.ts (the 880-line discrete-substrate Worker handler), worker/src/runtime/oidc.ts (GHA OIDC verifier; only used by the audit-gate route), tools/audit-via-agent.py (717-line Managed Agents dispatcher), and .github/workflows/audit-gate-runtime-probe.yml (reusable workflow that POSTed to /audit-gate-test).	The handroll-revisit cost is what the substrate switch eliminates — every layer of the substrate that produced 16+ PRs of bugs (voice drift, U+FFFD encoding mangle, prompt-pattern violation, 524 timeouts, 1101 errors, parallel-Bugbot-burn, model_overloaded_error transients) is the layer that claude-code-action now provides as maintained vendor surface. The CF Worker's general broker functionality is unaffected; ConversationDO, AmsMcpAgent, MCP transport, KV, and observability all remain.
D	Added a v5 wrangler migration with deleted_classes = ["AuditGateDO"]	Cloudflare Durable Objects require explicit deletion migrations to retire a class. Without v5, wrangler would either refuse the deploy (the class is referenced in [[durable_objects.bindings]] but not in code) or leave orphan storage. The v5 migration discards any in-flight audit DO instance at deploy time; the GHA workflow on the next PR is the replacement and starts fresh per the canon fresh-context guarantee at klappy://canon/principles/verification-requires-fresh-context.
C	The audit-gate workflow uses the action's --json-schema for structured output and requires either CLAUDE_CODE_OAUTH_TOKEN or ANTHROPIC_API_KEY in repo secrets	claude-code-action v1 documented at https://github.com/anthropics/claude-code-action accepts both auth surfaces and prefers OAuth when set. The workflow `verify auth secret is present` step emits ::error:: with remediation instructions if neither is set, so Phase 0 prerequisites (operator generates token via `claude setup-token` locally and adds it as CLAUDE_CODE_OAUTH_TOKEN repo secret) surface as workflow failures rather than silent malfunctions. The --json-schema invocation constrains the persona's emission to {verdict, summary, comment_body}; structured_output is parsed via jq in a post-step that posts the PR comment and exits non-zero on FAIL.
C	The audit task definition + persona profile + brand_discipline voice canon are fetched at runtime via oddkit MCP	The action's --mcp-config uses the streamable-HTTP transport ({"type":"http","url":"https://oddkit.klappy.dev/mcp"}) to wire oddkit to the spawned Claude Code session. The persona files (ams://canon/personas/ams-canon-code-auditor and the two siblings) are unchanged from the prior runtime; the audit-gate-cca workflow's prompt instructs the agent to oddkit_get its own persona URI and read system_prompt_uri / brand_discipline from there. Canon-at-runtime is preserved per klappy://canon/principles/vodka-architecture; the substrate switch did not touch governance plumbing.
O	The handoff doc was partially out of sync with reality on session start	Per the handoff at the top of this session: PR #93 was named as having 2 commits at e0a6025 / 692f09b. Verification at session start showed PR #93 had 7 commits at head 882415f4 (the prior session kept pushing fixes after writing the handoff). The journal/2026-05-13-agent-runtime-scaffold.tsv was on the PR #93 branch only, not on main. Neither was a blocker — the substrate-switch exploration and plan are independent of PR #93's exact state — but the verification was load-bearing: planning under a wrong picture of state is the failure mode the operator was naming.
O	The plan-as-written said "one audit gate workflow" but reality has four gate jobs (one legacy + three runtime-probe personas via a reusable workflow)	Mid-execution observation, surfaced and named to the operator before continuing. The correct mapping is: existing pattern is "reusable workflow + N callers with different persona URIs"; substrate switch is "keep the pattern, swap the reusable workflow's implementation." gates.yml's orchestrator (smoke + path classification + concurrency) is preserved verbatim. Only the reusable workflow changes file (audit-gate-runtime-probe.yml → audit-gate-cca.yml) and the legacy Managed-Agents dispatcher job drops. The three persona callers point at the new file with their existing persona_uri values unchanged. Net: same gating semantics, different substrate.
L	Skill: when planning an "execute" handoff, observe the existing workflow structure before writing the plan, not after	The handoff said "exploration → planning, then execute." I produced a plan that referenced "the audit gate" singular without first inspecting gates.yml. The plan was useful but under-specified; mid-execution I had to expand scope to match the real four-gate structure. The fix isn't retroactive planning during execution — it's better observation during planning. Next time this pattern recurs (substrate switch, repository-level change), the planning mode includes a "read the existing call graph" step before the synthesis ledger.
L	PR #92 (gates.yml wait-for-bugbot Cursor dependency) becomes obsolete with this PR	PR #92 chains AMS audits behind Cursor Bugbot completion to avoid double-billing on Bugbot autofix commits. With our own self-hosted bugbot in this PR, the Cursor dependency drops. The bugbot autofix commits retrigger gates.yml normally, and the existing concurrency group `gates-${{ github.event.pull_request.number }}` with cancel-in-progress already handles the racing-commits case. Operator action: close PR #92 as superseded once this PR merges. Flagged in the PR description, not done in this PR (scope discipline).
L	PR #93 (the persona-shaped agent-runtime worker) stays open; its scope narrows but its code is unchanged in this PR	Per the plan, packages/agent-runtime/ is preserved for future personas (TinCan flagship, ChatGPT MCP consumer, docs-writer) that need an always-on / subscribed-session substrate that GHA cannot host. The audit-gate persona was the v1 deployment target named in canon, but the audit-gate persona is structurally one-shot-PR-triggered and the GHA path is a better fit. PR #93's README narrows to "non-audit-gate personas" in a follow-up PR (or on PR #93's branch before merge) — not in this PR, to keep scope tight.
H	After merge, the next PR (or push to this PR) exercises the new substrate end-to-end	This PR is its own first test of the new gates: the new gates.yml + audit-gate-cca.yml workflows run on this PR, with the substrate switch applying to itself. If the workflows fail on this PR with a substrate-level error (auth missing, remote MCP unreachable, schema mismatch), the gate's "Surface substrate failure" step posts a PR comment explaining what to fix. The prerequisite: CLAUDE_CODE_OAUTH_TOKEN must be added to repo secrets before merge. If unset, the gates exit early with a remediation-pointing error instead of a confusing failure.
H	Canon PR to klappy://canon/methods/spawned-agent-session-substrate-options is a separate follow-up	The substrate catalog gets a new row for "GitHub Actions + Claude Code Action + Subscription OAuth" once this PR's substrate proves out in production. Status `proposed` initially, flipped to `accepted` after one calendar week of clean audits. The cost-shape framing (inference under subscription absorption, substrate runtime free on public-repo GHA) parallels the existing CF Sandboxes + Claude Code row. Not in scope for this PR.
