type	typeName	facet	quality_score	quality_max	quality_level	title	content
D	Decision		5	5	strong	The agent-messaging-service repo carries an oddkit overlay rooted at canon/	The agent-messaging-service repository carries its own oddkit overlay rooted at a canon/ tree alongside the long-form spec docs at the repo root. Consumers pass knowledge_base_url=https://github.com/klappy/agent-messaging-service to oddkit tools to make the overlay discoverable. The overlay extends the klappy.dev baseline; cross-program canon (vodka-architecture, definition-of-done, mode-discipline, the writing canon, the AI voice clichés constraint) lives upstream and is referenced via klappy:// URIs, not duplicated. Overlay structure mirrors klappy.dev: canon/decisions, canon/constraints, canon/principles, with a knowledge-base.md root pointer and an ams://docs/operating-contract-pointer for LLM agents working on the repo.
D	Decision		5	5	strong	Long-form spec docs are not converted to canon; canon extracts their load-bearing constraints	The long-form spec docs (SPEC, AMS, PROTOCOL, ARCHITECTURE, POC-INFRA, POC-PLAN, ESSAY, GLOSSARY, HORIZON, PATTERNS, README) are not rewritten as canon articles. They are the long-form reasoning surface and are governed by SPEC.md §14 revision discipline. The canon/ tree extracts their load-bearing decisions and constraints into addressable, rule-shaped articles per klappy://canon/principles/dry-canon-says-it-once. Each canon article points back to the long-form source via the derives_from frontmatter; there is no content duplication.
D	Decision		5	5	strong	Tier 1 for irreversible decisions; Tier 2 for evolving conventions	Tier assignments in the overlay follow upstream norms: Tier 1 for one-way doors and load-bearing irreversible decisions (tokens-not-messages, magic-link-as-URL, per-account stream ownership, two-door registration, dream-house wire and edge wrappers, SPEC-as-locking-surface, HORIZON-as-constraint-set, wire conformance, permanent non-goals); Tier 2 for evolving conventions and patterns (conversation-not-room vocabulary, wrapper-stays-cheap, vodka-architecture-applied, two-agent conversation conventions, own-stream-echo-must-be-filtered, operator-as-subscriber, MCP wrapper conformance for conversational AI). Stability values follow tier: stable for Tier 1, semi_stable for Tier 2 conventions expected to evolve as more implementations land.
D	Decision		5	5	strong	Convention canon for two-agent conversation is recommended-strength, not prescriptive	The new convention canon for the two-conversational-AI-assistants use case is authored as recommendations, not wire requirements. The wire stays vodka per ams://canon/constraints/permanent-non-goals; convention belongs above the wire in metadata-declared form. Implementations may diverge from the recommended convention by declaring divergence in the capabilities metadata key. Two implementations that follow the convention interop without prior coordination; two that diverge interop on whatever subset they share. This preserves the foundation play while still giving v1 implementers a reference point that prevents the most common failure modes (echo loops, endless ping-pong, stalls, simultaneity confusion).
C	Constraint		5	5	strong	Canon URIs use ams:// for AMS-original; klappy:// for upstream	Canon URIs in the overlay use the ams:// namespace for AMS-original articles and klappy:// for cross-references to upstream baseline canon. The split makes provenance unambiguous: any URI starting with ams:// is governed by this repo's revision discipline; any URI starting with klappy:// is governed by the klappy.dev baseline. Cross-references in derives_from, complements, governs, and See Also use the appropriate namespace. Relative file paths are not used in cross-references because they break under overlay/baseline merging.
C	Constraint		5	5	strong	Every canon article has a What This Is Not section	Every canon article in the overlay includes a "What this is not" section per the upstream canon template's dogma-avoidance rule. The section names what the article does not claim, what it does not foreclose, and what it does not enforce. This prevents the canon from drifting into universal-claim form and preserves the layered-opinion model that AMS's vodka discipline depends on.
C	Constraint		5	5	strong	Voice is checked against ai-voice-cliches before commit	Every canon article in the overlay is voice-checked against klappy://canon/constraints/ai-voice-cliches before commit. No negation parallelism tics, no formulaic transitions, no em-dash overuse, no sycophantic openers, no generic positive descriptors. The AMS docs were already written in a clean voice; canon extraction maintains it.
L	Learning		3	3	strong	The wire's own-stream echo is the most common demo-killer for conversational AI subscribers	The PROTOCOL §4.1 commitment that the server pushes own-stream tokens to the emitting client is the single most likely place for a naïve conversational AI implementation to fail. Without an explicit owner_account_id filter, the agent reads its own emissions as input, generates a response to its own response, and loops until rate limits intervene. This is so easy to miss that it warrants its own canon article (ams://canon/principles/own-stream-echo-must-be-filtered) and is also encoded as convention 6 in ams://canon/constraints/two-agent-conversation-conventions. Defense in depth: the wrapper filters by default, and the agent filters again.
L	Learning		3	3	strong	Comprehensive convention canon prevents the demo gate from devolving into per-implementation reinvention	The SPEC §3.2 demo gate scenario (two Claude Code instances exchanging tokens through one AMS conversation, no human in the wire) requires application-layer conventions the wire does not own: turn boundaries, end-of-turn signaling, handshake, termination defaults, system-prompt isolation, own-stream echo handling, capabilities schema. Without canon for these, every demo implementation reinvents them and inconsistent reinventions fail to interop. The convention canon provides v1 defaults so two well-behaved implementations can interop without prior coordination, while keeping the wire vodka so divergent conventions remain possible above it.
O	Observation	open	2	3	adequate	An overlay-internal canon-integration audit is not yet automated	The klappy.dev baseline ships a canon-integration audit (klappy://canon/constraints/canon-integration-audit) that checks cross-references and concept consistency before merge. The agent-messaging-service overlay does not currently run such an audit on its own canon files. Open: when the overlay grows beyond the bootstrap set, an audit pass that walks ams:// URIs and validates derives_from/complements/governs/See Also targets becomes necessary. Likely re-entry signal: third or fourth canon addition where a cross-reference is wrong or missing.
