type	typeName	facet	quality_score	quality_max	quality_level	title	content
D	Decision		5	5	strong	Observability lives as a subscriber pattern plus broker-side hooks; never as a wire feature	The AMS overlay commits to the architectural split that earlier docs (SPEC §12.9, ARCHITECTURE §8, PATTERNS §3) already implied. Observability has two cooperating layers: a bolt-on subscriber that joins each conversation it observes via the existing magic-link plus account-credential pattern and consumes the wire's existing broadcast, and a built-in hook layer in the Worker and ConversationDO that records control-plane and DO-lifecycle events no subscriber can see. The two layers do not overlap; each event class is recorded by exactly one. Adding observability frames to the wire is rejected on three grounds: it would compromise the polymorphic-subscriber model, the wire already broadcasts the structural-identifier set the upstream telemetry doctrine asks for, and observability conventions evolve faster than the wire should. Encoded as ams://canon/decisions/D0010-observability-via-subscriber-not-wire (Tier 1, irreversible).
D	Decision		5	5	strong	Observability subscribers register a role of observability_sink in the v1 convention vocabulary	The capabilities.ams.convention.v1 schema's role enum gains observability_sink as a recognized value alongside conversational_ai (defined in two-agent-conversation-conventions) and operator (defined in operator-as-subscriber). The role declaration is convention, not enforcement; peers that ignore the role and treat all subscribers identically remain conformant. The role enum is enumerated in two-agent-conversation-conventions §"The Role Vocabulary" with each role's authoritative canon article. New roles register there as they land.
C	Constraint		5	5	strong	Observability sinks capture shape, never substance; a payload boundary names what may and may not leave the broker	The observability payload boundary is a Tier 1 safety constraint that extends the wire's existing payload-opacity rule (PROTOCOL §7) into every observability sink. The capture allowlist covers structural identifiers (account_id, namespace, conversation_id, stream_id, stream_name, alias), lifecycle and timing fields (event_type, ts, close_code, error_code), shape-not-substance metrics (bytes_in/out, token_count, metadata_keys, peer_count_at_event), and self-declared identifiers scoped to the subscriber's own stream. The capture blocklist excludes token data contents, metadata values, account credentials, permissive tokens, full magic links, IP addresses, peer identity above account_id, and out-of-band material. The hook-layer schema mirrors klappy://canon/constraints/telemetry-governance with AMS-specific dimensions; identifiers leaving the broker are SHA-256 truncated to 12 hex characters. Encoded as ams://canon/constraints/observability-payload-boundary.
P	Principle		5	5	strong	Observability subscribers operate via the recommended subscriber pattern; broker hooks fill what they cannot see	The principle ams://canon/principles/observability-as-subscriber documents the recommended operating pattern for observability sinks: provision an account credential, receive magic links via operator-chosen discovery, join each conversation as a polymorphic subscriber, declare role observability_sink with posture passive (default) or participant (rare, declared), apply own-stream filtering and payload-boundary redaction, ship frame-shaped records to the configured sink. The hook pattern records account creation, conversation minting, conversation inspection, WS upgrade attempts (success and each failure close code 4001 through 4290), DO lifecycle events, and sustained backpressure. The non-overlap test runs in both directions: events that produce a wire broadcast are recorded only by subscribers; events that produce no broadcast are recorded only by hooks; double-recording is a design failure that must be cut.
L	Learning		3	3	strong	The wire's existing broadcast envelope is sufficient for the structural-identifier set without any new frames	Re-reading PROTOCOL §4.2 against the upstream telemetry-governance schema, the server-pushed frames already carry stream_id, stream_name, owner_account_id, and ts on every token, plus full peer rosters on joined and full lifecycle events for stream_joined, stream_left, and stream_metadata. The structural-identifier set the upstream doctrine asks observability to capture is already broadcast — adding any wire feature for observability would be redundant. The lesson generalizes: when an addition would publish what is already published, the addition is not needed.
L	Learning		3	3	strong	Polymorphic subscribers lift entire categories of infrastructure to the application layer at zero protocol cost	Observability is the third demonstration in this overlay (after operator-as-subscriber and the deterministic harness in PATTERNS §1) of the same pattern: a category of capability that other protocols would absorb into the wire as a privileged feature instead lives as a subscriber that joins like any other peer. The pattern keeps the wire vodka and pushes the opinion to the layer where iteration is cheap. The criterion for the next candidate is whether the wire's existing broadcast plus the metadata slot can carry it; if yes, the answer is a subscriber pattern, not a wire change.
C	Constraint		4	4	strong	The hook layer is removable without changing wire conformance	The hook layer is infrastructure, not protocol. Deleting every writeDataPoint call in the Worker and ConversationDO leaves the wire fully conformant against ams://canon/constraints/wire-conformance. The hook layer's removability is the operational test that distinguishes it from a wire feature: if removing a hook would change subscriber-visible behavior, the change has drifted into the wire and the design must be revisited.
O	Observation	open	3	3	strong	The observability canon is unproven by an actual deployed sink	The three new canon articles (decision D0010, constraint observability-payload-boundary, principle observability-as-subscriber) are authored from first-principles reasoning, the upstream telemetry-governance constraint, and the existing AMS spec docs. They have not yet been tested by an actual observability subscriber implementation or a hook-layer ship. Re-entry signal: the first observability subscriber lands and forces revision of any field, role, or schema choice that did not survive contact with reality. Until then, the convention is recommended-not-required and may be revised through SPEC §14 process.
O	Observation	open	2	3	adequate	Long-form spec docs are not updated in this canon pass	The canon additions intentionally do not modify the long-form spec docs (SPEC §5 deferred items, SPEC §12.9 horizon, ARCHITECTURE §8 observability, PATTERNS §3 future patterns, GLOSSARY entries). Per the overlay's authorship discipline (knowledge-base.md), canon extracts load-bearing constraints from long-form docs without rewriting them; updates to the long-form docs are governed by SPEC §14 revision discipline and are an operator call. Open: when the operator decides to update the long-form docs, the canon URIs above become the addressable references those updates point at, and the SPEC §12.9 entry can be reframed from "to ship" to "ships under the canon-defined pattern."
O	Observation	open	2	3	adequate	The SPEC versioning question is not resolved in this pass	The operator asked whether SPEC.md should adopt SemVer (v1, v1.1) to mark the observability scope addition. The exploration response argued for one of three options: bump the wire protocol (out of scope; observability is wire-zero), add SemVer to SPEC document itself (lightweight, creates a third version axis to keep in sync), or use git tags for spec milestones (zero new mechanism, fits §14 discipline). The choice is the operator's; the canon additions here are independent of which option lands.
H	Handoff		3	3	strong	Three new canon files and two extensions land in the overlay; long-form spec docs untouched	Files added: canon/decisions/D0010-observability-via-subscriber-not-wire.md, canon/constraints/observability-payload-boundary.md, canon/principles/observability-as-subscriber.md. Files extended: canon/constraints/two-agent-conversation-conventions.md (added "The Role Vocabulary" section enumerating conversational_ai, operator, observability_sink with their authoritative articles; updated See Also), canon/principles/operator-as-subscriber.md (See Also cross-link to observability-as-subscriber). Operator commits the changes; this session did not push (credentials in project instructions are noted as exposed and treated as compromised, per the prior session's H entry in 2026-05-01-canon-overlay-bootstrap.tsv). Verification after commit: oddkit_search with knowledge_base_url=https://github.com/klappy/agent-messaging-service should surface ams://canon/decisions/D0010-observability-via-subscriber-not-wire and the two new sibling articles, and overlay_doc_count should be 21 (was 18).
H	Handoff		3	3	strong	Next-actions queue for the long-form spec docs and supporting work	Surfaced for a follow-on session and operator decision: (1) update SPEC.md §5 deferred-items table to reference the new canon URIs as the pattern the deferred work ships against; (2) update SPEC.md §12.9 to point at D0010 as the architectural commit; (3) update ARCHITECTURE.md §8 to reference the IN/ON split and the canon URIs; (4) update PATTERNS.md §3 to promote "Observability sink" to a full §4 section or leave it as-is and link to the principle; (5) add GLOSSARY entries for "Observability subscriber", "Observability sink", "Observability payload boundary", and possibly "Hook layer"; (6) resolve the SPEC versioning question (git tags vs doc SemVer); (7) when the first observability subscriber lands, run an audit against the convention canon for any field or role that did not survive. None of these gate the canon additions; the canon additions stand on their own as the AMS-overlay authority on observability.
E	Encode		3	3	strong	Observability event classes split into two non-overlapping sets	Event classes that are recorded by the subscriber layer: token, stream_joined, stream_left, stream_metadata, joined. Event classes that are recorded by the hook layer: account_created, account_create_failed, conversation_minted, conversation_mint_failed, conversation_inspected, conversation_inspect_failed, connect_attempted, connect_succeeded, connect_failed (with close_code dimension covering 4001 through 4005, 4290, 4400, 4500, custom 4900-4999), do_started, do_hibernated, do_evicted, sustained_backpressure. The split is the operational test for any proposed observability event: which layer owns it, and is it recorded only there.
E	Encode		3	3	strong	Capabilities schema additions: role observability_sink with posture, scope, redaction, sink, policy_url	The capabilities.ams.convention.v1 block for an observability sink declares: role=observability_sink (literal); posture (passive default, participant rare); scope (array of lifecycle, structural, metadata-shape); redaction (payload-and-metadata-values default, or named custom policy linked from policy_url); sink (external or in-broker); plus annotations.display_name, annotations.operator, annotations.policy_url. Field meanings and defaults are authoritative in ams://canon/principles/observability-as-subscriber §"The Observability Subscriber's Capabilities Declaration".
