type	typeName	facet	quality_score	quality_max	quality_level	title	content
O	Observation		4	4	strong	Three files added at repo root: AGENTS.md, CLAUDE.md, .mcp.json	Single execution-mode session 2026-05-02 produced three new files at the root of klappy/agent-messaging-service: AGENTS.md (267 lines, the convention-neutral entry surface for any coding agent — Cursor, Cline, Codex, Claude Code), CLAUDE.md (7 lines, a pure redirect to AGENTS.md so the Claude Code convention resolves to one source of truth per klappy://canon/principles/dry-canon-says-it-once), and .mcp.json (13 lines, auto-attaches the oddkit MCP server). AGENTS.md inlines the load-bearing posture (creed, axioms, time rule, mode discipline, bottleneck respect, search-canon-before-asking) per klappy://docs/examples/project-instructions-template, and points at klappy://canon/bootstrap/model-operating-contract for the evolving operating contract, docs/operating-contract-pointer.md for AMS overlay specifics, and SPEC.md as the contract surface. The repo previously had no AGENTS.md, no CLAUDE.md, and no .mcp.json — coding sessions opened cold against this repo (Claude Code, Cursor, fresh Claude.ai chat outside the operator's Claude Project) got none of the proactive-integrity posture or oddkit tool surface. This PR closes that gap.
D	Decision		5	5	strong	.mcp.json uses oddkit's remote HTTP transport, not local stdio	Per klappy://canon/constraints/telemetry-governance, oddkit resolves a consumer label from the request in priority order: ?consumer= query parameter, then x-oddkit-client header, then MCP initialize.clientInfo.name, then User-Agent, then 'unknown'. Stdio transport limits identification to channel 3 (whatever the IDE sets as clientInfo, which is generic — 'Claude Code', 'Cursor' — never project-specific). HTTP transport unlocks channels 1 and 2 plus the eight self-report headers used for the transparency leaderboard. Claude Code's own MCP docs (https://code.claude.com/docs/en/mcp) say 'HTTP servers are the recommended option for connecting to remote MCP servers.' The remote endpoint is documented at klappy://odd/getting-started/agents-and-mcp as https://oddkit.klappy.dev/mcp. Tradeoff: HTTP requires network reachability — offline sessions degrade gracefully (no oddkit, but AGENTS.md still readable). The richer identification surface plus zero-install setup wins.
D	Decision		5	5	strong	Consumer label is 'agent-messaging-service' (descriptive identifier, not the GitHub username/repo path)	Per the telemetry-governance policy's examples — 'claude-desktop', 'truthkit-cli', 'your-company-agent' — consumer labels are descriptive project identifiers, not user identities. 'klappy/agent-messaging-service' would URL-encode the slash and produce a less readable leaderboard entry. 'agent-messaging-service' is the project's name, matches what AMS calls itself in README/SPEC, and is what appears on the public transparency leaderboard. Reversibility: trivial — one URL edit and one header edit if the operator prefers a different label later.
D	Decision		5	5	strong	Three self-report headers set, five intentionally omitted (only what is real, per Axiom 2)	Of the eight self-report headers in klappy://canon/constraints/telemetry-governance: x-oddkit-client, x-oddkit-client-version, x-oddkit-agent-name, x-oddkit-agent-version, x-oddkit-surface, x-oddkit-contact-url, x-oddkit-policy-url, x-oddkit-capabilities — three are set in .mcp.json: x-oddkit-client (project name), x-oddkit-surface ('claude-code' matching where the config is intended to run), x-oddkit-contact-url (this repo's URL). Five are omitted for honest reasons: client-version (repo has no tagged version yet — pre-PoC per README); agent-name and agent-version (unknowable at config time — depends on which Claude session runs the config); policy-url (AMS has no telemetry policy yet — pointing at klappy.dev's would misrepresent reciprocal transparency); capabilities (no concrete capability list to declare). Per Axiom 2 ('A claim is a debt'): set only what is true. Three of eight scores ~37%, just below 'Starter Reporter' on the leaderboard. Honest under-reporting is preferred to inflated declaration.
D	Decision		5	5	strong	CLAUDE.md is a 7-line redirect to AGENTS.md, not a duplicate of its content	Both Cursor and the AGENTS.md cross-tool convention point at AGENTS.md; Claude Code's hierarchical loading convention looks for CLAUDE.md at repo root. Two surfaces with the same content invite drift — the same failure pattern named in klappy://canon/principles/dry-canon-says-it-once. CLAUDE.md is therefore a thin pointer ('Redirect. Read AGENTS.md.') with one line of context explaining why. Claude Code reads it, follows the link, lands on AGENTS.md. Same trick the existing docs/operating-contract-pointer.md uses against the upstream bootstrap — pointer doc, not a copy.
L	Learning		4	4	strong	Telemetry-governance policy (originally read for transparency reasons) was the load-bearing input for transport choice	The .mcp.json was first written with the stdio config from klappy://odd/getting-started/agents-and-mcp's example. Operator iteration ('read the docs off the MCP config for identifying consumer and project') forced a re-read of klappy://canon/constraints/telemetry-governance, which exposed: (a) the priority-ordered consumer-resolution surface, (b) the eight self-report headers and badge-completeness scoring, and (c) the explicit policy claim that ?consumer= is the recommended identification method because every MCP client lets users edit URLs while not all expose custom headers. That policy doc was the load-bearing input. Lesson: when a project ships an MCP integration, telemetry-governance is not an afterthought — it is part of the integration's wire-level shape, and reading it first prevents writing a degraded-identification config.
L	Learning		3	3	strong	DOLCHE+E was wrong; canonical name is DOLCHEO+ where + extends to custom encoding types	First draft of AGENTS.md used 'DOLCHE+E' in three places, copying the framing from this repo's existing knowledge-base.md. Operator corrected mid-iteration: it's DOLCHEO+ where the + stands for whatever custom encoding types a use case adds. Verified against canon: encoding-type docs at klappy://odd/encoding-types/* tag both 'dolche' and 'dolcheo'; the encode meta-type doc names the seven default types as 'D, O, L, C, H, E, or Open' (Decision, Observation, Learning, Constraint, Handoff, Encode, Open). The + extension surface is governed by klappy://odd/encoding-types/how-to-write-encoding-types — every encoding type, default or custom, is a governance article. AGENTS.md fixed in three places and now glosses DOLCHEO+ inline on first mention. Local repo drift remains in other files (DOLCHE/DOLCHE+E/DOLCHE+H all appear; GLOSSARY.md teaches the wrong six-letter framing) — out of scope for this PR; logged as separate iterate-class follow-up.
O	Observation		3	3	strong	Known follow-ups deliberately out of scope: DOLCHE naming drift, journal/README.md sibling entries, PR #7 validation TSV	Three iterate-class items observed during this execution but deliberately not bundled into this PR per scope discipline: (1) Repo has DOLCHE/DOLCHE+E/DOLCHE+H drift across README, GLOSSARY, SPEC, PATTERNS, POC-INFRA, ARCHITECTURE, HORIZON, and knowledge-base — none match the canonical DOLCHEO+. GLOSSARY.md in particular teaches the wrong six-letter framing. Should be a separate naming-alignment PR. (2) journal/README.md still missing index entries for 2026-05-02-ams-poc-build-planning.tsv and 2026-05-02-ams-sovee-substrate-principle.tsv (both landed via PR #5). This PR adds the index entry only for its own execution.tsv, matching PR #6's pattern; the prior gap rolls forward as a single hygiene PR. (3) journal/2026-05-02-pr7-validation.tsv exists in working copy from earlier in this session but addresses a different topic (validation findings for already-merged PR #7) — held back for a separate commit/PR rather than mixed with the agent-bootstrap topic.
H	Handoff		5	5	strong	Validation by a fresh Claude session is the next executable step	Per klappy://canon/principles/verification-requires-fresh-context and the pattern from PR #7, validation of this PR must happen in a fresh Claude session with cold context. The validating session should: (1) read this execution journal as the contract-and-build record (no prior planning TSV exists — this entire PR was generated in a single exploration-then-planning-then-execution session, and this journal is the planning-and-execution evidence in one); (2) read the three new files (AGENTS.md, CLAUDE.md, .mcp.json) and verify against this journal's claims; (3) verify all canon URIs cited in AGENTS.md resolve and all relative repo links exist as files (the executing session verified this pre-merge: 13 klappy:// URIs canon-sanctioned by the upstream template, 5 ams:// URIs map to canon/ files, 9 relative repo links all exist); (4) verify the .mcp.json passes the consumer-identification surface defined in klappy://canon/constraints/telemetry-governance; (5) produce a findings entry with explicit accept | iterate | pivot disposition. After this PR merges, the natural next step remains POC-PLAN Day 1 — Worker scaffold + accounts + conversations endpoints — which becomes the first code-producing PR (the C constraint from the prior planning session is now satisfied: docs-first revision discipline complete via PR #7, agent-onboarding surface complete via this PR).
O	Observation		4	4	strong	Iteration on PR #8: build-vs-consume scope made explicit before merge	While PR #8 was open for review, the operator surfaced a validation-class concern: AGENTS.md and .mcp.json as originally written did not differentiate AMS-the-build-context (coding agents writing AMS source) from AMS-the-consume-context (agents using AMS at runtime via the MCP wrapper at ams.klappy.dev/mcp). The two contexts share a project name but have entirely different MCP attachments: build-side attaches oddkit at oddkit.klappy.dev/mcp; consume-side attaches AMS itself at ams.klappy.dev/mcp. Both use the same project name in casual reference, which makes the distinction easy to lose and the oddkit telemetry leaderboard easy to conflate. Per the operator's confirmation, comprehensive consumer-side onboarding documentation is future work — when the PoC ships and there are real consumers shaping the requirements. For now, the build-side artifact is made explicit about its scope and honestly flags the consume-side gap. Iteration is recorded in this same TSV (matches PR #7's cherry-pick precedent) rather than spawning a separate journal.
D	Decision		5	5	strong	Consumer label changed from 'agent-messaging-service' to 'agent-messaging-service-dev'	Original .mcp.json shipped with consumer label 'agent-messaging-service' — the bare project name. While syntactically valid, it created a future telemetry-leaderboard conflation risk: when a consumer-side oddkit configuration eventually exists (per the operator: 'one day'), it would either reuse the same label and make build-vs-consume populations indistinguishable in telemetry, or it would have to pick a divergent label retroactively after build-side data had already accumulated. The cleaner move is to disambiguate at the source: build-side becomes 'agent-messaging-service-dev' (with -dev suffix matching the policy's example pattern of '<project>-<surface>'); future consumer-side configurations get a different suffix like '-consumer' or per-deployment labels like 'acme-bot-on-ams'. The label change is reflected in both the URL ?consumer= parameter and the x-oddkit-client header. Reversibility: trivial — two string edits.
D	Decision		5	5	strong	Added 'Scope: Build-Side Only' section to AGENTS.md; consumer-side onboarding flagged as future work	AGENTS.md gained a new section between 'Repository at a Glance' and 'Identity of Proactive Integrity' that names this file's audience explicitly: agents BUILDING AMS, opening this repository to write source. The section also names the consume-side context (agents using AMS at runtime via the MCP wrapper) and points at POC-INFRA.md §8.4 and §10 for the current example shape of consumer .mcp.json, while honestly stating that comprehensive consumer-side onboarding — equivalent to AGENTS.md but for runtime consumers — is future work, deferred until real consumers shape the requirements post-PoC. This honors Axiom 2 (a claim is a debt): not pretending the consumer side is already covered. The 'How oddkit Identifies This Project' section also gained a forward-looking note about future consumer-side labels staying distinct from this build-side label.
