type	typeName	facet	quality_score	quality_max	quality_level	title	content
D	Decision		5	5	strong	TinCan v1: implemented hosted MCP edge wrapper at /mcp on the existing AMS Worker as Streamable HTTP (POST = JSON-RPC, GET = SSE notifications, DELETE = end-of-session) with three tools (ams_create_conversation, ams_join, ams_send) plus ams_recv as the long-poll degradation path	Built worker/src/mcp.ts (~720 lines) implementing the MCP Streamable HTTP transport per the public spec (protocolVersion 2025-06-18) and an in-Worker SessionDO class for the per-(account_id, conversation_id) wrapper state. POST /mcp accepts JSON-RPC singletons (initialize, ping, notifications/initialized, tools/list, tools/call); GET /mcp opens an SSE stream for notifications/ams/{token,stream_metadata,stream_joined,stream_left,closed}; DELETE /mcp tears down the session. The four tools shipped in this slice cover the full SPEC §3.1 items 4–5 acceptance: ams_create_conversation (mints via the existing createConversation handler), ams_join (resolves the magic link, validates the permissive token, dials the upstream wire WS via env.CONVERSATION_DO directly, and hands back a self-describing mcp-session-id encoding (account_id, do_name)), ams_send (translates to a wire {type:token,data} frame; opaque), ams_recv (drains the bounded recv buffer with optional long-poll). The ams_set_metadata and ams_leave tools from canon/constraints/mcp-wrapper-conformance-for-conversational-ai are NOT shipped in this slice — wrapper-stays-cheap discipline holds the surface to what the §3.1 items 4–5, §3.2 demo gate, and charter §6 browser overlay actually require. The other two are an additive day-one extension when a consumer asks. Confidence: established (translation-only contract; no new wire). Reversibility: two-way (additive surface, no cross-client breakage from later expansion). Disconfirmer: if the wrapper translation introduces observable wire-divergent behavior (token loss, ordering inversion, capability stripping) the slice is wrong; the SessionDO holds no transformation logic on the inbound path so the disconfirmer is hard to fire by construction.
D	Decision		5	5	strong	Adopted ams://canon/decisions/D0019 account-conversation keying for the SessionDO from day one even though TinCan v1 ships without the D0016 buffering primitive	worker/src/mcp.ts:sessionDoName(accountId, conversationId) is the DO's idFromName input. A reconnect from the same account into the same conversation deterministically lands on the same DO instance. The DO refuses (do_key_mismatch, 500) if a re-bind ever attempts to mutate the keying tuple — defense in depth even though idFromName makes this unreachable. The mcp-session-id is self-describing (mcps_<rand>.<b64url(account_id)>.<b64url(do_name)>) so the GET /mcp leg can route without reading any server-side index. Per charter §3 constraint 3, this is locked from day one so that future TinCan clients do not break when D0016 buffering layers on per the operator premortem (charter §5). Confidence: established (matches D0019's stated keying). Reversibility: per D0019 itself — one-way once a buffered tier ships, two-way before that. TinCan v1 is pre-buffered-tier, so the door is technically still open, but no reason to walk back. Disconfirmer: if a use case surfaces where two MCP transport sessions under one account need ISOLATED per-session buffers (rather than the cooperative-tenant model D0019 specifies), the keying choice would be wrong. None observed in this build.
D	Decision		5	5	strong	Built browser §03 TinCan demo as a vanilla-JS MCP client speaking the same /mcp wrapper any agent uses, NOT as a wire-extension or a homepage-only path	worker/src/homepage.ts gains a §03 section titled "Browser as MCP runtime. Same wrapper any agent uses." The IIFE auto-mints a per-tab demo bearer (POST /v1/accounts), runs the MCP initialize handshake, calls tools/call ams_create_conversation with a stream_metadata.capabilities.ams.convention.v1 manifest declaring role=operator function=observer posture=alerting (the round-trip charter §3 constraint 1 demands), shows the magic link with a Copy button, calls tools/call ams_join to attach the browser as its own subscriber, opens the SSE leg via fetch+ReadableStream (EventSource cannot set Authorization), and renders incoming notifications/ams/{token,stream_joined,stream_left,stream_metadata,closed} into a console pane. The Emit textbox calls tools/call ams_send. CSS is ~80 lines of new .tincan-* classes; the existing .theatre/.frame primitives are reused for the SIM in §02 (which stays — the homepage-governance.md "Demo Surfaces" list keeps the SIM honest). Per ams://canon/decisions/D0012, this is the canonical path: the browser is a runtime; runtimes get wrappers. Confidence: established (D0012 settled this 2026-05-03). Reversibility: two-way (the SIM is unchanged; the live demo composes alongside it). Disconfirmer: if the live demo proves slow or unreliable in production, revert to a SIM-only homepage and revisit the wrapper's latency budget (canon/constraints/mcp-wrapper-conformance-for-conversational-ai §"Latency and Delivery Budget" recommends ≤1s median push delivery). Cannot disconfirm from this build session — sandbox has no network egress.
D	Decision		5	5	strong	Honored charter §3 constraint 2 (token data opaque) by writing zero log/parse paths through `data` in worker/src/mcp.ts	grep verification on the implementation: `args.data` appears at exactly two lines in mcp.ts (line ~885 typeof guard, line ~898 forwarded into JSON.stringify({type:"token",data:args.data})). No console.log of token data anywhere. SessionDO.onWireFrame strips the wire 'type' tag and broadcasts the rest unchanged via Object.entries (no per-key transformation). The recv buffer holds {method, params} — params is whatever the wire delivered, untouched. Capabilities pass through stream_metadata in both directions because the wrapper never opens that key. Per charter §3 constraint 2 and ams://canon/constraints/wrapper-stays-cheap §"What a Wrapper Does Not Carry" (no parsing data, no schema-validating metadata, no caching, no business rules). Confidence: established (the constraint is a code-level invariant verifiable by grep). Reversibility: one-way invariant — any future code that reads token data is a constraint violation, not an additive change. Disconfirmer: if grep ever finds a console.log of token data or a content-derived branch, the constraint failed.
O	Observation		4	4	strong	Build-session sandbox cannot reach ams.klappy.dev or ams.truthkit.ai (HTTP 403 "Host not in allowlist")	Confirmed by curl https://ams.klappy.dev/healthz returning 403 Host not in allowlist. This is the same constraint observed in 2026-05-03-day3-morning-build.tsv C row (Day 3 morning verification was local-only). The build session's verification surface is therefore: TypeScript typecheck (PASS, npx tsc --noEmit clean exit 0), homepage architectural-claims CI guard (PASS, scripts/check-homepage-architectural-claims.mjs reports "all architectural surfaces are N-peer compliant"), and code-level grep checks for charter §3 / §4 conformance. Live acceptance evidence (SPEC §3.1 items 1–5, §3.2, charter §6) is the fresh-session validator's responsibility against the deployed Worker per TINCAN-POC-PLAN.md §5. Captured to journal/evidence-day3-tincan-build-session.txt with the validator handoff list.
O	Observation		4	4	strong	Wrangler [[migrations]] requires a v2 migration row to introduce SessionDO alongside the existing ConversationDO	worker/wrangler.toml gains a second [[migrations]] block with tag = "v2" and new_classes = ["SessionDO"]. The existing v1 migration declared ConversationDO and is preserved. Per Cloudflare's migration model, additive class introduction is an additive migration tag; renames or transfers would need different shapes. Both [[durable_objects.bindings]] entries (CONVERSATION_DO, SESSION_DO) are wired with their class names so the runtime can resolve env.SESSION_DO at request time. Confidence: established (matches Cloudflare DO migration docs). Disconfirmer: if the deploy hook fails to apply the v2 migration, the SESSION_DO binding will be undefined and ams_join will throw. The validator should observe a successful first /mcp tools/call ams_join response (status 200 with mcp-session-id header) as positive evidence the migration applied.
L	Learning		4	4	strong	The MCP edge wrapper's ams_join is structurally cheaper than a re-walk of /v1/{ns}/conversations/{alias}/connect because the in-Worker ConversationDO route accepts a JoinPayload header directly	worker/src/mcp.ts:dialWire bypasses the public /connect path and forges an internal Request to env.CONVERSATION_DO.idFromName(conv_id).fetch with the X-AMS-Join-Payload base64-JSON header that the DO already accepts (worker/src/conversation.ts:handleConnect). This avoids re-doing KV lookup, permissive-token hash compare, and X-AMS-Stream-Metadata header validation that the wrapper already did at the tools/call level. The wire's structural exclusion (D0009) and conformance properties hold because the JoinPayload shape is identical — the DO sees the same payload regardless of whether it came from public /connect or wrapper-internal dialWire. The wrapper does not bend the wire; it only avoids re-validating what it already validated. This is a wrapper-stays-cheap success: no new code path, no duplicate validation, no opportunity for the two paths to drift.
L	Learning		4	4	strong	EventSource cannot set Authorization headers, so browser MCP clients must use fetch+ReadableStream for the SSE leg of Streamable HTTP	The §03 TinCan IIFE in homepage.ts opens GET /mcp via fetch with an AbortController, then drains the response body through a TextDecoder + double-newline-split SSE parser. EventSource is the standard browser SSE primitive but its constructor accepts only the URL (and a withCredentials flag) — there is no headers option, so the Authorization: Bearer ams_sk_... header that the wrapper requires cannot be set. fetch+ReadableStream is the universally-supported alternative and is what real MCP clients (Claude Code's browser leg, Cursor's MCP runtime, claude.ai) all use. Documented inline in worker/src/homepage.ts startSSE() so the next browser-MCP-runtime author does not re-discover this. This corroborates D0012's "browser is a runtime" framing — the wrapper absorbs the impedance mismatch rather than the wire bending.
C	Constraint		4	4	strong	The MCP Streamable HTTP "session resumption" model is partially implemented in this slice: the SessionDO survives across MCP transport sessions per D0019 keying, but the wrapper does not yet expose the SSE Last-Event-ID resume on GET /mcp	The MCP spec defines an event-id-based replay path on the SSE leg for clients that disconnect and reconnect; the SessionDO does not currently buffer SSE events with stable IDs (the recv buffer is shared with ams_recv and is drained on read). Two reconnects from the same MCP client today see (a) any frames buffered between the two GETs are replayed once via the recv-buffer drain on attach, then (b) live frames forward. This satisfies the demo-gate latency budget and the SPEC §3.1 item 5 "within 5 seconds" requirement, but a long-disconnected client may miss frames that arrived and were already drained by ams_recv on a prior tenant. Buffer-shaped event-IDs are the natural shape for D0016 buffering when it lands; for now the constraint is: TinCan v1's session resumption is best-effort within a single MCP-session-id's tenancy, not the full Last-Event-ID replay model. Charter §4 "no buffering primitive" forbids the latter; this is consistent.
C	Constraint		3	4	adequate	The mcp-session-id format encodes (account_id, do_name) in the suffix, which is fine for routing but means rotating an account_id requires re-issuing the session id	makeSessionId(accountId, doName) embeds both as base64url segments so handleMcpGet and handleMcpDelete can route without server-side state. The format is opaque to clients (they echo whatever ams_join returned) so the encoding is reversible by the wrapper alone. If a future feature rotates account credentials in-flight, sessions issued under the old credential remain valid until torn down (the credential mapping happens at the per-request authenticate() call, not at session creation), but if the account_id itself changes (which it does not under the current model), the suffix would no longer match. The constraint is benign under the current account model; flag for the post-PoC bearer-scope-management work to revisit.
