type	typeName	facet	quality_score	quality_max	quality_level	title	content
D	Decision		4	4	strong	Adopted hybrid canon-decision + governance-doc pattern for homepage governance	The website-governance pattern landed as a hybrid: canon/decisions/D0013-homepage-as-poc-surface.md carries the load-bearing rule (architectural cardinality is N-peer; demo cardinality stays demo-scoped) in the ams:// overlay where it is searchable via oddkit_search and citable from other canon. docs/homepage-governance.md carries the operational surface (audience map, in-scope claims, out-of-scope claims, forbidden patterns, change procedure, decision log) where it evolves more often as session-end encodes land. The split mirrors the existing SPEC.md (locking surface) + long-form reference docs (operational) pattern. Operator approved the hybrid in the planning conversation 2026-05-03.
D	Decision		4	4	strong	CI script enforces architectural surfaces only; demo body copy is intentionally not scanned	scripts/check-homepage-architectural-claims.mjs scans five named architectural surfaces in worker/src/homepage.ts (<title>, <meta name="description">, <meta property="og:title">, <meta property="og:description">, hero subhead) and fails on four forbidden patterns (\btwo agents?\b, \b2 agents?\b, \bpair of agents\b, \btwo[- ]agent\b without convention/demo/instruction modifier). Demo §02 title (Two agents. Two streams. One wire.), the two doors authorization framing, and the two terminals + wscat instruction are NOT scanned because they are structurally accurate to the literal demonstration per the encode 2026-05-03-ams-homepage-n-cardinality-and-dumb-pipe.tsv constraint Two-agent framing remains valid in three places.
D	Decision		4	4	strong	D0013 lives outside SPEC.md; SPEC §14 only records D0013's existence	Homepage rules are not added to SPEC.md because the homepage is not on the wire. SPEC's contract envelope per D0007 covers the protocol implementation; protocol-conformant implementations of AMS would not be required to ship the reference homepage. SPEC §14 gets a single v1.1.2 patch row noting D0013 exists and that homepage-content changes route through docs/homepage-governance.md. The lock-moves-first discipline from D0007 is honored without absorbing the homepage governance into SPEC.
O	Observation		4	4	strong	The day-3 N-cardinality drift survived two days on production because no governance surface existed	Day 2 shipped the homepage with two agents hard-coded into meta description (line 28), og description (line 31), hero subhead (line 871), and demo §02 title (line 977). This contradicted D0001 (one emission, N subscribers), D0009 (multi-party group), operator-as-subscriber, observability-as-subscriber, and the existing constraint two-agent-conversation-conventions which already named two-agent as a recommended demo convention rather than a wire commitment. The drift was caught manually on day 3 via attentive observation, fixed in PR #19, and encoded in journal/2026-05-03-ams-homepage-n-cardinality-and-dumb-pipe.tsv. SPEC §14 does not protect the homepage because the homepage is not in the wire contract.
O	Observation		4	4	strong	The encode discipline was already strong; the missing piece was a doc to encode against	The journal/ directory contained six homepage-related TSVs over two days at the time of this analysis (homepage-design-and-implementation, homepage-mobile-responsiveness, homepage-post-day2-reality, ams-homepage-n-cardinality-and-dumb-pipe, day3-morning-build, day3-mcp-sdk-migration) plus four PNG evidence images. The session-end encode discipline is operating at high quality (strong-rated artifacts with citations and visual proof). What was missing was the canonical governance surface that encodes roll up into. Encodes were forming an audit trail in journal/ but had no living doc to update in place; future sessions would have to search the journal to reconstitute what the homepage is for and what claims it can make.
L	Learning		4	4	strong	The SPEC § lock-moves-first discipline does not protect surfaces SPEC does not name	SPEC.md §14 says the lock moves first and deeper docs follow. This protects every load-bearing decision SPEC names. It does NOT protect surfaces SPEC chooses to leave outside its envelope. The homepage was such a surface — never mentioned in SPEC because it is not on the wire — and therefore had no lock-moves-first protection against drift. The lesson is generalizable: any artifact that is load-bearing in practice but not in SPEC's contract envelope needs its own governance surface, not a SPEC extension. D0013 is one application of this lesson; future PoC surfaces (consumer onboarding doc, eventual SDK landing page, etc) will follow the same pattern.
L	Learning		4	4	strong	Drift detection has three layers and the encode layer alone is insufficient	The website-governance proposal stacked three drift-detection layers: CI floor (mechanical pattern check at PR time), oddkit_validate gate (semantic check at deploy time), session-end encode (human discipline at session end). Reviewing day 3 against this stack revealed that AMS's existing encode discipline was operating well in isolation but still allowed the day-2 drift to ship to production for two days. The encode caught the drift only after a human noticed it; nothing structural was preventing the original drift from landing. The lesson: encoding is necessary but not sufficient. Mechanical checks at PR time are what make the encode pattern trustworthy, because they catch the cases where humans would otherwise have to remember to look.
L	Learning		3	4	adequate	A canon decision plus operational doc is the right granularity for surface-level governance	D0013 is the rule (rare changes, citable, searchable). docs/homepage-governance.md is the operational surface (forbidden patterns list, audience map, change procedure, decision log — evolves more often). Putting the rule in docs would put it outside the searchable canon overlay; putting the operational details in canon would bloat canon with edit-frequency content. The split is symmetric to SPEC.md (locking surface, rare changes) + the long-form reference docs (evolve under SPEC). This is a candidate template for any future PoC surface that needs governance: one canon decision, one operational doc, one mechanical check, one workflow trigger. The pattern itself could eventually be encoded as a canon principle.
C	Constraint		4	4	strong	The forbidden-patterns list and the CI script must stay in lockstep	docs/homepage-governance.md §Forbidden Patterns lists four regexes; scripts/check-homepage-architectural-claims.mjs hard-codes the same four. Adding a fifth requires editing both files in the same PR. This duplication is a known DRY violation but is acceptable because the doc is the human-readable contract and the script is the machine-readable enforcement; a future iteration could refactor the script to read the patterns from the doc directly (e.g. parse a fenced code block) but the cost-benefit at four patterns does not justify it yet. Encode this as Open if the pattern list grows beyond ~10.
C	Constraint		4	4	strong	If the hero subhead moves to a different element the script's matcher must be updated in the same PR	The script identifies the hero subhead by matching a <span class="small"> whose first child is <strong>AMS · Agent Messaging Service.</strong>. If a future homepage redesign changes that element (e.g. promotes the hero subhead to a <p> or splits it into multiple elements), the script's SURFACES matcher returns null for that surface and exits 2 with a clear error message instructing the editor to update both the matcher and the governance doc's §Architectural Surfaces list. This is exit-code-2 by design: a missing surface is a structural restructure, not a forbidden-pattern hit, and should fail loudly so the governance and the implementation stay aligned.
