type	typeName	facet	quality_score	quality_max	quality_level	title	content
O	Observation		5	5	strong	D0022 had a category error: TinCan is the PoC codename, not a brand	After PR #28 was opened with the layer-separation amendment, the operator surfaced that "TinCan is the name of the PoC. First pass iterative building posture. Prove the concept with just a simple test. Can we add the MCP server to the tool and have them talk. Done. No other goals. Just connect and talk." The original D0022 listed TinCan as one of four brand axes (Wire / TinCan / Patch / Dispatch), conflating the build-codename for the current PoC with a hypothetical product brand. This was a category error introduced during the operator-Claude exploration — the operator had said "TinCan" earlier in the brand-naming brainstorm, and the model carried it forward as a brand candidate without checking whether it was a brand or a build name. The error landed in canon and was caught by operator-as-validator, again in one sentence.
O	Observation		5	5	strong	The build sequence is PoC → learn → name three products → brand them, not the reverse	Operator clarified the intended sequence: build the TinCan PoC (MCP server connects to wire, two ends talk, done), learn from it, decide on the three product cuts, then name and brand them. Brand-naming follows product-clarity, not the other way around. This reverses the naïve sequencing the original D0022 implicitly assumed (where Wire/TinCan/Patch/Dispatch were treated as candidate brand names that the build would then conform to). The corrected discipline: D0022 locks the portfolio commitments (three products, no lead, Cloudflare Mode, hero-as-user, three discipline tests, retraction triggers), defers the brand-naming to a successor decision when build evidence justifies the cuts.
O	Observation		5	5	strong	The PoC scope is structurally minimal and deliberately so	"Prove the concept with just a simple test. Can we add the MCP server to the tool and have them talk. Done. No other goals. Just connect and talk." This is the entire scope of the TinCan PoC. Not a feature set, not a roadmap, not a soft-launch product — a structural validation that the MCP-to-AMS connection works end-to-end. This minimal scope is consistent with the operator's iterative-building posture and the canon-wide vodka discipline. It is also the smallest possible falsifiable bet: if MCP cannot connect to AMS and two ends cannot talk, the whole substrate-as-MCP-prerequisite frame is wrong and everything above it requires re-thinking.
L	Learning		5	5	strong	Carrying brainstorm vocabulary forward as canon commitments without checking is a category-error trap	During the exploration phase, the operator brainstormed brand candidates (Wire, TinCan, Patch, Dispatch). The model carried these forward as the named candidate set in D0022. The operator never said "those four are the brands"; the model inferred the commitment from the brainstorm context. This is a specific failure mode worth naming: brainstorm vocabulary deserves to be tested for its semantic role (candidate? example? final commitment?) before being canonized. The fix in this case was operator-validation; the prevention going forward is one explicit confirmation step before encoding any specific names from a brainstorm into canon — "the brands you want to lock into D0022 are X, Y, Z?" before writing the section.
L	Learning		5	5	strong	Build-then-brand discipline mirrors substrate-then-application discipline	D0020 commits AMS to substrate-not-application: build the substrate, let third parties build applications on it, do not pre-commit to specific applications. D0022 (corrected) commits to the analogous discipline at the brand layer: build the products, learn what they want to be, name and brand them after the cuts are clear, do not pre-commit to specific brand identities. The pattern is consistent: pre-commitment forecloses learning; deferred specification preserves the optionality the iterative posture requires. Both decisions share the same underlying epistemics — defer the things that are downstream of evidence; lock only the things that govern how evidence will be evaluated.
C	Constraint		5	5	strong	D0022's portfolio commits are discipline-level; brand-level commitments require a successor decision	Specifically, what D0022 locks: three-product portfolio target, no lead brand, Cloudflare Mode (relationships traceable not advertised), hero-as-user voice, the three discipline tests (tagline mutual exclusivity, aesthetic distinction, code-example differentiation), the three retraction triggers, exactly-one-brand-carries-the-thesis. What D0022 does NOT lock: any specific brand name, any specific axis, any specific aesthetic, any specific tagline, the choice of which brand carries the thesis. These are deferred to a successor decision (D00xx — multi-brand portfolio composition) authored when build evidence from TinCan and any subsequent product-cut work justifies the specific cuts.
C	Constraint		5	5	strong	TinCan refers to the PoC build codename only; never to a brand or to a product	Across all canon, journal, and external communication, "TinCan" is the codename for the current proof-of-concept build whose scope is structurally minimal (MCP server connects to wire; two ends talk; done). It is not a brand name, not a product name, not part of the eventual portfolio composition. Existing references to TinCan-as-brand-candidate in D0022 (and in the journal entry from PR #28's first commit) are revised; future references must distinguish PoC-codename from brand-layer language explicitly.
H	Handoff		5	5	strong	D0022 amended on branch; PR #28 updated; merge-ready pending operator approval	canon/decisions/D0022-multi-brand-portfolio-on-shared-substrate.md amended via str_replace: (1) frontmatter derives_from updated to remove four-brand framing; (2) pull-quote rewritten to deferred-naming framing with explicit TinCan-as-PoC clarification; (3) Description rewritten with "Build-then-brand, not brand-then-build" framing; (4) Outline updated; (5) "The Brands and Their Axes" section renamed and rewritten as "The Portfolio Discipline" with discipline-only commitments; (6) "AMS as Attribution" section degenericized; (7) "Cloudflare Mode" section degenericized; (8) "The Discipline That Prevents Drift" section degenericized; (9) "One Brand Carries the Thesis" section updated to three-brand context; (10) "What This Forecloses" updated and added brand-then-build sequencing as foreclosed; (11) "What This Is Not" updated with TinCan-as-PoC explicit clarifying item; (12) "Reversibility" example updated. Net change preserves all discipline commitments; removes all specific brand-name commitments; adds explicit deferred-naming and TinCan-as-PoC framing.
H	Handoff	open	4	5	strong	Brief for Ian and Tim still references TinCan as a brand — needs operator-side update before share	The brief at /mnt/user-data/outputs/brief-portfolio-thesis-ian-tim.md (not in PR; comms artifact) still references "Wire, TinCan, Patch, Dispatch" as the four brands and includes TinCan in the brand-axes table. This needs the same correction as D0022: replace specific brand list with deferred-naming + TinCan-as-PoC framing, and update count from four to three. Update applied locally for operator review. The brief was originally drafted before the operator's "TinCan is the PoC" clarification.
E	Encode		5	5	strong	canon/decisions/D0022-multi-brand-portfolio-on-shared-substrate.md amended for build-then-brand discipline	Twelve targeted edits applied via str_replace to remove all four-brand and TinCan-as-brand references, replace with deferred-naming framing, add explicit TinCan-as-PoC clarifying paragraph, update count from four to three. Frontmatter derives_from updated. Section structure preserved. Outline updated. Net effect: the decision now locks portfolio discipline (three-product target, Cloudflare Mode, hero-as-user, the three discipline tests, retraction triggers, exactly-one-brand-carries-the-thesis) without committing to any specific brand identities. Specific brand-naming deferred to a successor decision when build evidence from TinCan and any subsequent product-cut work justifies the cuts.
E	Encode		5	5	strong	journal/2026-05-04-ams-pr28-amend-tincan-as-poc.tsv committed	This journal entry. OLDC+H+E records of the operator-as-validator catch (TinCan-as-brand category error) and the deferred-naming amendment that closed the gap before PR merge.
