type	typeName	facet	quality_score	quality_max	quality_level	title	content
D	Decision		5	5	strong	Stream is the primitive; ownership and subscription are mutually exclusive (D0009)	The stream is the load-bearing primitive in AMS. A stream has exactly one owning account (D0003 preserved). Ownership and subscription are now mutually exclusive states: an account that owns a stream is structurally not a subscriber to it, and the wire never delivers a stream's tokens to its owning account by default. Conversation is a convenience grouping for stream discovery — the admission boundary — but not the unit of broadcast. The wire delivers stream-by-stream. This supersedes the previous echo-and-filter wire model in which the broker pushed every stream's tokens to every subscriber including the emitter, and every subscriber had to filter on owner_account_id before treating a token as input. D0009 moves that constraint from subscriber discipline into wire structure. Encoded as canon/decisions/D0009-stream-as-primitive-ownership-excludes-subscription. Tier 1, irreversible.
D	Decision		5	5	strong	Emit confirmation is fire-and-forget by default (D0009 hard case 1)	The v1 wire does not acknowledge accepted token frames. An emitter learns of failure via a 4400 malformed-frame close; absence of close is positive proof of acceptance. No separate ack or receipt frame ships in v1. Optional emit receipts are a deferred MAY — addable later as an x_receipt extension when an orchestration or audit use case forces it. Rationale: simpler wire, no latency tax on the emit path, no extra frame type. Documented in PROTOCOL.md §4.1 (Emit Confirmation) and SPEC.md §12 (horizon).
D	Decision		5	5	strong	Self-observability is opt-in via X-AMS-Self-Subscribe (D0009 hard case 2)	Default is structural exclusion: an account does not subscribe to streams it owns. A subscriber that has a legitimate use case (logger, replay sink, audit consumer that happens to share an account with a producer) can opt in via the X-AMS-Self-Subscribe: true header at WebSocket connect. The joined server frame echoes the effective self_subscribe value. The clean primitive (exclusion default) handles the common case; the opt-in escape hatch keeps the door open for edge cases without making them a wire-level concern. The cleaner pattern for loggers and observers is a separate observer account — own no producer stream, subscribe to whatever you observe — which D0009 also enables.
D	Decision		5	5	strong	Subscription granularity defaults to subscribe-to-all-except-own (D0009 hard case 3)	A subscriber attached to a conversation is, by default, registered as a reader of every stream in that conversation except those it owns. Optional metadata-driven filtering (selective subscription by stream_id or by metadata predicate) is supported but not required for v1. The default matches the common case (small set of peers all consuming each other's output). Selective subscription is on the horizon (SPEC.md §12) for use cases where reading every peer stream is operationally prohibitive.
D	Decision		5	5	strong	Multi-stream-per-account remains v1 default of one; not blocked (D0009 hard case 4)	The v1 PoC continues to enforce one stream per account per conversation. The structural-exclusion rule (D0009) extends naturally to multi-stream — an account that owns N streams in a conversation does not subscribe to any of those N by default. No special handling required. The PoC default is for simplicity; multi-stream composition patterns (pipelines, aggregators, cross-conversation re-routing) are unblocked at the primitive level and listed on the horizon.
L	Learning		5	5	strong	Moving constraints from subscriber discipline into wire structure is strictly simpler	The previous canon (own-stream-echo-must-be-filtered) treated self-echo as a wire feature with three justifications: uniform buffering, emit confirmation, polymorphic-subscriber convenience. Each was real, but each was also a behavioral burden moved onto every subscriber. D0009 demonstrates that when an invariant can be made structural at the lowest possible layer (wire registration), the system gets strictly simpler at every layer above: subscribers stop carrying a class of bug, wrappers stop carrying a class of state, the wire's contract gets exhaustively true (no asterisks). The benefits the echo previously provided are preserved or replaced cleanly: uniform buffering becomes unnecessary (no second case to unify), emit confirmation becomes fire-and-forget (with optional opt-in receipts), polymorphic-subscriber convenience becomes opt-in self-subscription. Test for future architectural choices: when a behavioral discipline is being asked of every implementer, ask whether the constraint can be moved into structure at a lower layer.
L	Learning		5	5	strong	Concurrent multi-stream emission is a default property of the wire under D0009	Once ownership excludes subscription structurally, two consequences fall out for free that previously required application-layer engineering: (1) two or two thousand streams in a conversation can emit in parallel with no turn-taking, no race conditions, no self-feedback loops; (2) streams are composable downstream — re-pipeable across conversations, aggregatable, chainable — because subscription is a separate act from ownership. The two-agent turn-taking case (the v1 demo gate) becomes one specific shape of the more general concurrent-multi-stream model rather than the model itself. This unblocks the long-game horizon (HORIZON §13: distributed mixture of experts, concurrent specialized subscribers, three-tier composition) at the primitive level rather than as a future wire revision.
O	Observation		4	5	adequate	The previous canon inherited the chat-shaped messaging assumption without examining it	The own-stream-echo-must-be-filtered principle was load-bearing because the wire model it derived from (PROTOCOL.md §4.1, pre-D0009) was load-bearing the wrong way. The wire-pushes-everything-to-everyone pattern was inherited from how chat and email systems work — broadcast a message to all room members, let the recipient filter what they want — without examining whether agent-to-agent messaging needed the same shape. The operator (klappy), bringing decades of large-scale multi-stream parallel infrastructure experience, recognized this as a regression from patterns that work at scale. The model (Claude) initially defended the inherited pattern as if it were the architecture rather than a choice; the operator's pushback surfaced that the choice had never been interrogated. Failure mode: pattern-matching to "this is how X systems work" defends choices that were never made deliberately. Counter-discipline: when an operator with implementation experience says a pattern feels architecturally wrong, treat the intuition as evidence the inheritance was unexamined, not as a question to be defended against.
C	Constraint		5	5	strong	D0009 is irreversible — wire structure cannot be reversed without cascade	D0009 is a one-way door at the wire level. Reversing it would require restoring wire-level self-echo (re-introducing the entire class of subscriber-discipline failure modes), re-coupling broadcast scope to conversation membership rather than stream subscription (foreclosing downstream composition across conversations), and forcing every subscriber to re-implement input filtering (re-introducing wrapper complexity that D0009 strips away). Each cascades through every layer of the implementation. Recorded in canon/decisions/D0009-stream-as-primitive-ownership-excludes-subscription.md §"What This Forecloses" and SPEC.md §9 reversibility table. AMS will not, within this major version: ship a wire mode delivering stream tokens back to owners by default; couple broadcast to conversation membership in a way that prevents stream-across-conversation routing; require subscribers to perform owner-vs-self filtering as a conformance condition.
C	Constraint		5	5	strong	D0003 stays irreversible; D0009 deepens the model rather than reversing it	D0003 (per-account stream ownership — only the owning account may emit) is preserved verbatim. D0009 strengthens D0003's read-side counterpart, making the implicit "every other subscriber reads it" into the explicit structural rule "owner is not a subscriber to its own stream." D0003's emission rule (constraint #1 and #2 — token and metadata ownership) stays exactly as written; D0003 gains a new constraint #3 (subscription exclusion). The "irreversible" tag on D0003 remains correct. D0003 + D0009 together define the read/write semantics of a stream: D0003 carries who can write, D0009 carries who receives.
E	Encode		4	5	adequate	New vocabulary: self-subscription, stream-scoped delivery, structural exclusion	GLOSSARY.md gains five new entries to support D0009. Self-subscription: the opt-in mode in which a subscriber receives its own stream's tokens at the wire layer. Default off; enabled per-connection via X-AMS-Self-Subscribe: true. Stream-scoped delivery: the wire's broadcast model — tokens delivered to subscribers of the stream they were emitted on, not to all conversation members. Structural exclusion: the wire-level property that an account is not a subscriber to streams it owns by default; implemented as a registration-time property of the subscription set, not as a runtime filter on the broadcast path. Emit confirmation: whether an emitter receives proof from the broker that a token was accepted; v1 default is fire-and-forget. Fire-and-forget: synonym for the v1 default emit semantics. "Echo (as a feature)" added to the deliberately-not-used list — earlier drafts used "echo" to describe the wire returning own-stream tokens; under D0009 that is not the wire's behavior and the word should not be used as if it were the default.
D	Decision		5	5	strong	Echo-filter principle is deprecated; URI retained as redirect	canon/principles/own-stream-echo-must-be-filtered is deprecated under D0009. The URI is retained so existing references do not break, but the body is replaced with a deprecation pointer to D0009. Tier demoted from 2 to 3. Frontmatter status: deprecated, stability: deprecated, superseded_by: D0009. Backward-compatibility story: a subscriber implementation that filters its own emissions on the input side remains correct under D0009 — the filter just becomes a no-op because the wire never sends self-echoes. No code change is required to remain correct; the filter is now redundant rather than load-bearing.
H	Handoff		4	5	adequate	Implementation phase begins; D0009 is the wire spec that ConversationDO must implement	The doc revision pass is complete (PR #3 on klappy/agent-messaging-service: 16 files, ~2,100 lines). Operator confirmed nothing has been built yet but docs. Implementation work follows in a separate pass. Critical implementation requirements: ConversationDO must hold a per-stream subscription registry (not a per-conversation subscriber list); register_stream must register the new connection as a subscriber of every other stream in the conversation by default and additionally as a subscriber of its own stream only if X-AMS-Self-Subscribe: true; emit_token broadcasts to the stream's subscription set, not to all connected sockets; the structural exclusion lives at registration, not as a runtime filter on the broadcast path. Smoke test §3.1 item 3 and demo gate §3.2 now require verifying the no-echo property (each wscat session sees the other's frames AND not its own). See ARCHITECTURE.md §4 for the operations contract and POC-PLAN.md Day 2 for the build plan.
H	Handoff	open	3	5	adequate	Remaining doc touch-ups deferred and the second wrapper class still proves the pattern	Files not revised in this session that may need review: HORIZON.md (no echo-filter dependency found in scan; consider adding entries for composition patterns D0009 unblocks — multi-stream pipelines, cross-conversation re-routing, three-tier composition), ESSAY.md (no D0009-related changes needed; "echo" mention is in the SMS-acronym sense). The forward-compatibility check (SPEC §14) against HORIZON should be re-run now that D0009 is in canon — confirm no horizon entry is foreclosed and that newly-unblocked composition patterns get explicit horizon entries if worth naming. Second wrapper class (probably webhook adapter, SPEC §10 disconfirmer #3) still pending and is a real test of the wrapper-pattern abstraction; under D0009 the wrapper job simplifies further (no echo filter to carry over to a webhook adapter), which may reveal new symmetries or edge cases.
