D	Build a discrete persona-shaped agent runtime at packages/agent-runtime/ in agent-messaging-service repo	Implements klappy://canon/methods/persona-shaped-agent-runtime (Tier-1, E0009) and klappy://canon/methods/spawned-agent-session-runtime-contract (Tier-2). v1 scope per canon §First Worked Examples deployment sequence: validator role + audit surface + agent engagement + validation mode only. Other dimension values return structured refusal at submit time with named refusal_reason. The audit-gate migration plan at AUDIT-GATE-RUNTIME-MIGRATION-PLAN.md placed the runtime inside worker/src/runtime/audit-gate.ts on Cloudflare Agents SDK + Project Think; operator directive overrode the plan with discrete-worker requirement. Plan needs revision PR after this lands (separate scope).
D	Substrate is plain Cloudflare Worker + @anthropic-ai/sdk v0.96.0	Per ams://canon/constraints/mcp-build-side-governance: use the maintained SDK; handrolling requires P0002-criterion justification. The previous AMS audit-gate (worker/src/runtime/audit-gate.ts ~900 lines) handrolled SSE parsing, retry logic, error handling, JSON-RPC framing across 16+ PRs of bugs (voice drift, U+FFFD encoding mangle, prompt-pattern violation, 524 timeouts, 1101 errors, parallel-Bugbot-burn, model_overloaded_error transients). The SDK's beta.messages.stream() provides typed event iteration, automatic SSE parsing, and native MCP connector support (mcp_servers parameter with anthropic-beta: mcp-client-2025-04-04 header) — eliminating the bug classes the handroll surfaced. The runtime is NOT an MCP server (does not expose MCP); it is an MCP client (consumes MCP via Anthropic's native connector), so no McpAgent class is needed.
D	The new worker shares ZERO code with worker/ (AMS) or packages/tincan/ (TinCan)	Per operator directive: discrete folder, separate wrangler.toml, separate package.json, separate tsconfig.json, separate src/ tree, separate deployment, no cross-worker imports. The runtime is callable via HTTP only; consumers (AMS audit-gate, future TinCan flagship, future docs-writer) compose by calling its HTTP endpoint, not by importing its code. Verified by grep -r "from \"\\.\\./\\.\\./worker\\|from \"\\.\\./tincan" in src/ — zero results.
D	System prompt composition does NOT inject brand_discipline canon body	Per klappy://canon/constraints/oddkit-prompt-pattern (Tier-1, stable since E0006): "The system prompt is not the constitution; oddkit is. Governance is fetched at runtime, never hardcoded." The runtime fetches the persona's system_prompt_uri body (the TASK DEFINITION canon — what the audit checks) but NOT the brand_discipline body (the VOICE GOVERNANCE canon — how to speak about it). The agent has oddkit MCP wired in operationally and dereferences brand_discipline via oddkit_get at session time if it needs to ground a register or palette decision. This is the lesson from PR #91's retraction of the agent_voice: strict approach that almost shipped the anti-pattern.
C	Validator role v1 only: read-only tool restriction, fresh-context guarantee, structured deliverable required	Per canon §validator: tool allow-list is read-only; mutating actions refused before substrate invocation. Fresh-context requirement is strict — the validation session receives only the persona profile, the artifact reference, the claims declaration, and the governance documents. No execution-session state. Output is structured findings with explicit dispositions (fix | pivot | accept) per finding, per P0008 (klappy://docs/promotions/P0008-pr-validator-dolcheo-ledger-as-deliverable). Findings without disposition are rejected as incomplete.
C	Retry policy is in-runtime, not SDK-default	The SDK's default retry covers pre-stream HTTP errors but does not catch in-stream overloaded_error events (the failure mode that surfaced on PR #92's Managed Agent gate). The runtime wraps client.beta.messages.stream() in a retry loop with exponential backoff (BASE_BACKOFF_MS=1500ms, MAX_RETRIES=4) over RETRYABLE_STATUS={429, 500, 502, 503, 504, 529} plus message-text-based detection of overload/rate_limit/timeout/network classes. SDK's maxRetries is set to 0 to avoid double-retry behavior (would otherwise produce 4 × SDK + 4 × runtime = 16 attempts).
C	Validation gap disclosure per ams://canon/constraints/validators-cannot-self-validate-their-own-fix-prs	This PR adds a new persona-shaped agent runtime that the existing AMS audit-gate runtime probes do NOT call. The probes still target https://ams.klappy.dev/audit-gate-test (the existing worker/src/runtime/audit-gate.ts code). The new agent-runtime worker is unreachable from any production caller until a separate operator decision wires gates to it. Therefore the validation event for this work is NOT this PR's own gate verdicts; it is a separate side-by-side validation phase per the migration plan §Phase 3 — Side-by-side validation. Until that phase runs against ≥2 real PRs, the new runtime's verdict accuracy is unknown.
L	The @anthropic-ai/sdk v0.39 in npm registry did NOT have mcp_servers support; v0.96 does	First install pulled v0.39 (pinned via ^0.39.0 in my initial package.json). Grep for mcp_servers in node_modules returned zero matches. v0.96.0 (latest as of 2026-05-14) has mcp_servers on client.beta.messages (not client.messages — it lives in the beta namespace with the anthropic-beta header set automatically via betas: [MCP_BETA] in the request). The SDK has shipped ~50 versions between 0.39 and 0.96 since the MCP connector landed. Lesson: when pulling in a maintained SDK for a feature, version the dependency against the FEATURE-shipping version, not against current understanding of the SDK API surface from prior knowledge.
L	Mid-stream overload events surface as in-band events, not HTTP errors	The SDK streams beta.messages events. When Anthropic is overloaded mid-stream, the model_overloaded_error appears as an "error" event in the stream rather than as a 529 HTTP status (which would only happen pre-stream). The runtime catches both: HTTP errors via the SDK's APIError class on the outer try/catch, in-stream errors via SubstrateStreamError wrapping with message-text classification (classifyStreamMessage). Both classes go through the same retry loop; isRetryableError checks both.
H	Post-merge: the new worker is deploy-ready but has no production callers	On merge, the new agent-runtime worker is build-validated (wrangler dry-run passes) and typecheck-clean. It has no public routes (wrangler.toml routes block intentionally absent). It has no callers — the AMS audit-gate runtime probes still target the existing AMS endpoint. Two things must happen separately before this work has production value: (1) deploy the new worker with a public hostname via routes block + custom domain, (2) cut over the audit-gate-runtime-probe workflow's curl target from ams.klappy.dev to agent-runtime.klappy.dev (or whatever the new hostname is). Both are operator decisions deferred from this PR. The migration plan's Phases 3-5 (side-by-side, cutover, cleanup) cover the next steps and need revision to point at the new location.
O	mcp-build-side-governance constraint had to be re-discovered during this session	The constraint exists at ams://canon/constraints/mcp-build-side-governance and was not surfaced by my initial preflight prompt. It surfaced only when the operator pushed back on the rushed scaffold and forced a proper orient → preflight → challenge cycle. The constraint says explicitly: "the same handroll has occurred six times across six MCP server projects with the same operator." This session was the seventh attempt; the rushed scaffold attempted the seventh handroll. The orient-before-execute discipline is the only thing that catches this pattern reliably.
