type	typeName	facet	quality_score	quality_max	quality_level	title	content
D	Decision		5	5	strong	Oddie is a peer subscriber on AMS, not an orchestrator	Oddie joins TinCan conversations as a polymorphic subscriber per AMS's subscriber model. He is not an orchestrator, coordinator, or privileged participant. The wire does not know or care that Oddie is a guide. This is consistent with ams://canon/constraints/permanent-non-goals.
D	Decision		5	5	strong	Oddie lives at TinCan layer, not AMS wire	Per ams://canon/decisions/D0026-two-worker-topology-ams-substrate-tincan-ui-layer, Oddie's interpretation logic lives in TinCan (UI layer), not in AMS (substrate). The substrate does not know Oddie exists. Correct altitude.
D	Decision		5	5	strong	Real-time stream interpretation is the flagship use case	Designing for the hardest surface (highest density, tightest brevity, fastest detection) sharpens every other surface. Other use cases (audit, mentorship, strategic translation) inherit the constraints; the flagship sets them.
D	Decision		4	5	strong	Oddie speaks two languages on two surfaces	Agent-facing: structured observations as tokens on his own stream (AMS wire protocol). Human-facing: narrative clarity in the TinCan portal sidebar (voice canon governs). Same character, different register.
O	Observation		4	5	strong	Interpreter-subscriber is a new AMS subscriber pattern	Oddie is the first subscriber whose purpose is to interpret other subscribers' streams for a human audience. Not an agent performing work, not a logger — an interpreter translating machine-speed to human-speed. The pattern is replicable with different guides and different knowledge bases.
O	Observation	open	3	5	adequate	Throughput at high stream rates is unknown	How Oddie performs with many concurrent high-token-rate streams is untested. At what point does interpretation latency exceed the value of real-time annotation? Requires load testing.
O	Observation	open	3	5	adequate	Token budget for Oddie's own operation is unknown	Oddie's interpretation consumes tokens. At high stream rates, cost may be significant. Budget and scaling model require real workload data.
O	Observation	open	3	5	adequate	Portal UX for Oddie's output is undesigned	Sidebar chat, stream annotation, query interface are conceptual. Layout, interaction patterns, annotation density, dismissibility require design and user testing.
O	Observation	open	3	5	adequate	Multi-conversation context isolation is undecided	Can Oddie participate in multiple conversations simultaneously? Per-conversation state vs stateless observation is an open architectural question.
C	Constraint		5	5	strong	Detection-only inherited from upstream	Oddie's detection-only constraint per klappy://canon/constraints/critic-cannot-be-resolver is inherited by reference, not restated. The TinCan integration spec does not weaken or reinterpret it.
C	Constraint		5	5	strong	Voice canon inherited from upstream	Oddie's voice register per klappy://canon/voice/oddie-the-river-guide governs all human-facing output. The TinCan integration does not define its own voice — it inherits.
E	Encode		4	5	strong	Integration spec at ams://docs/oddie/tincan-real-time-guide	Architectural placement, dual-surface role, portal interaction surface, capability sources, detection-only reference, open questions. Confidence: proposal.
E	Encode		4	5	strong	Flagship observation at ams://canon/observations/oddie-flagship-use-case	Why real-time stream interpretation is the flagship: maximally tests every voice constraint. Establishes interpreter-subscriber pattern.
H	Handoff		5	5	strong	Upstream klappy.dev PR #179 carries voice and methodology canon	All voice specification, methodology-personification, critic-cannot-be-resolver, and supporting documents live upstream at https://github.com/klappy/klappy.dev/pull/179. This downstream PR references them by URI.
H	Handoff		4	5	strong	Fresh-context review agent required before merge	Both PRs require validation by a separate fresh-context review agent per klappy://canon/principles/verification-requires-fresh-context. Writing agent cannot validate its own output.
