type	typeName	facet	quality_score	quality_max	quality_level	title	content
D	Decision		5	5	strong	AMS adopts a multi-brand portfolio strategy with independent reference implementations on a shared protocol substrate	D0022 commits AMS to a multi-brand portfolio approach: AMS itself is the protocol (RFC-shaped, neutral, hosted at the protocol home), and the marketing surfaces are independent brands — initial set Wire, TinCan, Patch, Dispatch — each speaking a different psychographic dialect, each linking back to AMS as the open substrate. No brand is the lead. The portfolio operates in Cloudflare Mode (relationships traceable for anyone who looks; siblings not advertised but not hidden) rather than P&G Mode (relationships obscured; brands pretend siblings do not exist). Hero-as-user / brand-as-guide voice is enforced — the verb belongs to the user, never to the platform. Each brand is required to produce a tagline mutually exclusive with siblings, an aesthetic distinct from siblings, and a code example demonstrating a different use shape from siblings; brands that cannot produce these do not enter the portfolio. Exactly one brand carries the participation-replaces-integration thesis as a headline claim; the others demonstrate the thesis by existing on the same wire. Choice of which brand carries the thesis is deferred to brand-voice work. Decision is reversible at the per-brand level (retiring a single brand is cheap) and increasingly expensive to reverse at the multi-brand-commitment level once any brand has acquired a real audience.
O	Observation		5	5	strong	The operator's Agent Wire / Agent Lines naming instinct is canon-aligned	The instinct toward "Wire" or "Line" as brand vocabulary is not an outside pick but a continuation of vocabulary already locked in canon. D0001 (tokens not messages) treats the wire as the load-bearing primitive. D0006 (Dream-House Wire, Edge-Wrapped Reality) names the wire as the dream-house substrate. D0016 (Buffering and Persistence as Wrapper Primitive) explicitly uses the phrase "real-time line resilience." The wire/line vocabulary is already deeply phone-system-flavored in the architecture canon; importing it into the brand layer extends what is already there rather than introducing new metaphor.
O	Observation		5	5	strong	Switchboard fails the hero-as-user test; Dispatch passes	Among the four candidate brands surveyed (Wire, TinCan, Patch, Switchboard, Dispatch), Switchboard centers the platform as actor — "we connect your calls" — and was rejected on that basis. Dispatch passes the test — the verb belongs to the user ("dispatch any message, anywhere"); the platform makes dispatch possible without becoming the actor. The language test ("does the verb belong to the user or to the platform?") emerged as a fast disambiguator and is now codified in D0022 as the entry criterion for any brand surface.
O	Observation		5	5	strong	The four brands have different relationships to the same incumbent category	Mapping the four candidate brands against n8n's category exposed asymmetric positioning. Wire sits below the n8n category (substrate; n8n could be built on it). TinCan sits beside the n8n category (different psychographic — maker / educator). Patch competes with n8n from the integration angle (n8n's connectors are walled; Patch is open). Dispatch competes with n8n from the runtime angle (n8n is request/response DAGs; Dispatch is event-native). The portfolio is not four wigs on the same body; each brand has a structurally different relationship to a different incumbent.
O	Observation		5	5	strong	The N²-to-N collapse has happened three times before	The thesis that connector libraries become unnecessary on an open substrate is not a forecast; it is an observation about historical patterns. Email (SMTP collapsed CompuServe-Prodigy-AOL gateway category), web (HTTP collapsed Gopher/WAIS/FTP-bridge category), and chat federation (XMPP/ActivityPub/Matrix partially collapsing the closed-chat-bridge category) all enacted the same topology collapse against earlier connector-library categories. In each case the closed ecosystems had better day-one products for years; in each case the open substrate won the long game on a one-to-two-decade timescale. The pattern is consistent enough that AMS treats it as the structural prediction, not as analogy.
O	Observation	open	4	5	strong	Which brand carries the thesis remains undecided — Wire vs Dispatch	D0022 commits to "exactly one brand carries the participation-replaces-integration thesis as headline," but defers the choice between Wire (substrate-honest, low-level voice; thesis read as quiet but credible) and Dispatch (operational, enabling voice; thesis read as bold but risks sounding like another orchestrator). Decision is downstream of brand-voice work. The other two brands (TinCan, Patch) are explicitly wrong for the thesis — TinCan is play-flavored; Patch is craft-flavored; theses do not ride on either.
O	Observation	open	4	5	strong	Domain / GitHub org availability for the four brand names is unverified	Wire, TinCan, Patch, and Dispatch are all common English words and many of the cleanest .com / GitHub org / npm scope handles will be taken. A naming round that does not survive availability checks costs more than one that includes the check up front. This is queued for the brand-voice work session, not for canon.
O	Observation	open	4	5	strong	Day-one value when the connector library is empty needs an honest answer	The empty-day-one objection ("AMS has no integrations") is real and the honest answer ("integrations are the wrong primitive; the day-one experience is participation in conversations on the wire") needs to be tested against real audiences before the brand surfaces commit to it as positioning. This is empirical work, not canon work; the principle commits to honesty about the timeline (slow win) rather than to claiming day-one parity with orchestrators.
L	Learning		5	5	strong	The umbrella-plus-portfolio hybrid is epistemically incompatible	Initial framing of "do both — A/B-test positioning angles inside one site AND launch four independent brands" produces noisier signal than either alone, not richer signal. An umbrella A/B test implies the four messages are variants of one identity; four independent surfaces imply they are real and separate. Running both simultaneously contradicts at the framing layer. The recommended shape (one protocol home + four thin landing pages on independent domains, with the differential conversion across domains as the experiment) is the strategy that feels like both without being both.
L	Learning		5	5	strong	n8n's actual moat is the connector library, not the orchestrator	Initial framing positioned AMS as "an inversion of n8n" — choreography vs orchestration. Pressure-testing the frame surfaced that n8n's defensible value is the catalog (six-thousand-plus integrations on Zapier; hundreds on n8n) rather than the DAG runtime. This re-framed the competitive question from "better orchestrator" to "make the orchestrator's reason-to-exist contingent." The connector library is not a moat AMS has to match; it is a symptom of the topology AMS dissolves. This shift was the unlock for the participation-replaces-integration thesis.
