type	typeName	facet	quality_score	quality_max	quality_level	title	content
O	Observation		4	4	strong	Day 2 stream-plane slice implemented and locally verified	Per POC-PLAN.md "Day 2 — Sunday" scope (ConversationDO + WebSocket /connect + stream-scoped broadcast with structural self-exclusion + lifecycle frames + close codes), the worker added a new ConversationDO class (worker/src/conversation.ts) and a new GET /{ns}/conversations/{alias}/connect route in worker/src/index.ts. The DO holds an in-memory stream registry (Map<stream_id, ConnectionState>) plus the WebSocket handles; subscription is implemented as "send to every connection except the emitter unless self_subscribe was true" — that is, structural exclusion at the registration layer per ams://canon/decisions/D0009, not a runtime filter on the broadcast path. Frames implemented: server-side `joined` (with peers + self_subscribe echo per PROTOCOL.md §4.1), `stream_joined`, `stream_left`, `token`, `pong`. Client-side `ping` and `token` are routed; `set_metadata` is silently accepted as a noop so wire stays forward-compatible (mid-flight metadata mutation is a follow-up day). Close codes wired per PROTOCOL.md §6: 4400 on malformed frames or unknown frame types, 4004 on stream-name conflict within a conversation. wrangler.toml carries the first DO migration on this Worker — [[durable_objects.bindings]] name=CONVERSATION_DO class_name=ConversationDO + [[migrations]] tag="v1" new_classes=["ConversationDO"]; per Cloudflare's rules, the migrations block is required (not optional) the first time DO classes are introduced. tsc --noEmit clean. Diffstat: +521/-10 across 7 files (5 modified, 2 new). Branch: claude/day2-websocket-streaming-y9PTc. Commit: 437cc0d.
O	Observation		4	4	strong	SPEC §3.1 item 3 PASS against local wrangler dev	Captured wscat evidence in journal/evidence-day2-wscat.txt. Section A is the real wscat (6.1.0) form: ian's listener session received {joined, stream_joined for klappy, token from klappy, stream_left for klappy} — exactly the four-frame sequence PROTOCOL.md prescribes. klappy's sender session emitted {"type":"token","data":"hello-from-klappy-via-wscat-v3"} via -x and received exactly one frame: his own `joined` confirmation. He did NOT receive any token frame for his own emission. That is the wire-level proof of D0009 structural self-exclusion. Section B is a node ws-driven paired client showing the symmetry — both directions (klappy→ian, ian→klappy) exercise the broadcast path, and neither emitter ever sees its own token. The symmetry run also captured millisecond timestamps showing a ≈2ms broker hop from emit to subscriber RECV across the loopback. SPEC §3.1 item 3 is operationally attested at the local-deploy layer. Items 4 (MCP create) and 5 (MCP join+send) remain Day 3 scope and were intentionally not exercised today.
O	Observation	open	3	3	strong	Live deploy verification gated on the validator session (network policy)	The build session does not have egress to ams.klappy.dev or ams.truthkit.ai — both return 403 "Host not in allowlist" from this environment, indicating the agent runtime's outbound proxy. Section C of evidence-day2-wscat.txt is reserved for the live transcript appended once a session with the necessary network reach (or the operator running wscat locally) re-runs SPEC §3.1 item 3 against ams.klappy.dev (and as a D0011 host-parity check, ams.truthkit.ai). The validator session also confirms the Cloudflare Workers Builds promotion of claude/day2-websocket-streaming-y9PTc actually reached the production custom-domain Worker — branch builds may or may not deploy to the live custom domain depending on Workers Builds environment configuration; that is operator-side knowledge not visible from here.
D	Decision		4	4	strong	Wire-protocol question resolved: drop /v1/ from the connect URL example	PROTOCOL.md §4.1 previously had `wss://<host>/v1/{namespace}/conversations/{alias}/connect?t=...` while §3.2 minted magic links of shape `https://<host>/{namespace}/conversations/{alias}?t=...` (no /v1/). Day 1's live evidence (journal/evidence-day1-live-smoke.txt) and the implementation followed §3.2's shape — the deployed magic link at golden-harbor-2560 has no /v1/. SPEC §3.1 item 3's binding test is "the magic link with /connect appended," which under the §3.2 shape is `/{ns}/conversations/{alias}/connect`. Per POC-PLAN.md §5 ("If implementation surfaces a wire-protocol question, update PROTOCOL.md first, then code"), §4.1 was edited in the same PR to align with §3.2's path shape and to add a one-line note that the magic link is the v1 stream URL — clients treat it as opaque, so the connect URL inherits its shape with no separate /v1/ prefix on the stream-plane. ARCHITECTURE.md §2 diagram brought along. SPEC.md §6's architecture diagram still has /v1/ in its connect line; that is editorial, not a commitment change, and is recorded under "Day 1 latent doc-accuracy items" below for the v1.1.2 patch.
D	Decision		5	5	strong	No SessionDO this slice — ConversationDO + in-DO session map only	The user prompt named "SessionDO or in-DO session map — whichever PROTOCOL.md prescribes." PROTOCOL.md does not actually prescribe SessionDO; SessionDO is an architectural concept introduced in POC-INFRA.md and SPEC.md §6 specifically for the per-MCP-session edge wrapper (push-notification buffering, MCP-to-AMS-wire translation). For raw wscat clients (Day 2 surface) there is nothing for SessionDO to do. ConversationDO + an in-DO Map<stream_id, ConnectionState> is sufficient and is what ARCHITECTURE.md §4 describes. SessionDO lands when MCP wrapper does (Day 3+); the wire is unaffected by its absence today.
D	Decision		4	4	strong	`set_metadata` accepted-as-noop in Day 2; mid-flight stream_metadata broadcast lands later	SPEC §4 lists `set_metadata` as a v1 client frame and the matching `stream_metadata` server frame is wire-conformance MUST #5. Day 2 implements the initial-metadata path (initial metadata rides on `stream_joined` per MUST #5 second sentence) but not mid-flight mutation. The implementation accepts `set_metadata` frames silently rather than closing 4400 — that way clients that emit `set_metadata` today get no error and tomorrow's implementation will start broadcasting `stream_metadata` without a wire-incompatible change. Documented in worker/src/conversation.ts handleMessage(). Tradeoff acknowledged: a strictly-conformant implementation would broadcast `stream_metadata` on every `set_metadata`. Day 2 is wire-conformant for the broadcast + structural-exclusion property (the load-bearing D0009 axiom); set_metadata broadcast is a known partial.
C	Constraint		3	4	moderate	Day 1 latent doc-accuracy items deferred to v1.1.2 + one new addition	Day 1 closeout flagged three doc-accuracy items deferred to v1.1.2: (1) worker/wrangler.toml lines 23-25 still reference `wrangler secret put`; (2) SPEC.md title `# AMS Spec / PRD — v1.1` while body version is `1.1.1`; (3) POC-INFRA.md §8 missing the Workers Builds 'Root directory = worker' setting. Day 2 deliberately preserves all three (per the user prompt: out-of-scope for Day 2, leave for v1.1.2 patch). Adding a fourth to the same patch: SPEC.md §6's architecture diagram still has `GET /v1/.../connect` in its connect line, which contradicts §3.1 item 3's "magic link with /connect appended" binding test under the shape returned by the live deploy. Recommend folding all four into a single SPEC v1.1.2 + POC-INFRA + wrangler.toml patch PR after Day 3 ships.
L	Learning		3	3	strong	Miniflare populates Host header from first wrangler.toml route — magic link host is wrangler-dev-bound	When testing /v1/{ns}/conversations on `wrangler dev --local`, miniflare populates the request `host` header from the first declared route in wrangler.toml (here ams.klappy.dev) regardless of what the curl/wscat client sends. So the local mint returns `magic_link: "https://ams.klappy.dev/..."` even when the request hit 127.0.0.1:8789. For local wscat, substitute the actual local host:port — the path + permissive token are the binding contract. This is a wrangler-dev-only quirk; in production behind real custom domains, request.headers.get('host') returns the actual host hit, which is what D0011 host-portability relies on. Day 1 closeout already captured this learning; reconfirmed today.
L	Learning		3	3	strong	wscat (6.1.0) emits nothing on stdout when stdin is a closed pipe	Initial paired-wscat run wrote zero bytes to either log file. Cause: when wscat detects stdin is a closed/finite pipe (the default `< /dev/null` shell redirection or no input at all in a backgrounded job), it appears to skip stdout output entirely. Two workarounds verified: (a) pipe a `( sleep N )` into wscat — keeps stdin open for N seconds, output flows to stdout; (b) run wscat under `script -q -c "..."` to give it a pty, output flows to the script log file. Approach (a) won the day — it produced clean transcripts in /tmp/wscat-{ian,klappy}-3.log and is what got captured into Section A of the evidence file. Note: this is a wscat oddity, not a Cloudflare or AMS issue. Recorded so the Day 3 example-client + future smoke-runner scripts don't burn time rediscovering it.
L	Learning		2	3	moderate	WebSocketPair + accept-then-close is the right idiom for upgrade-time conformance failures	Some upgrade-time conformance failures (notably 4004 stream-name conflict, which can only be detected after the DO inspects the existing stream registry) need to surface as PROTOCOL.md §6 close codes rather than HTTP error responses. The pattern: `const pair = new WebSocketPair(); const [client, server] = Object.values(pair); server.accept(); server.close(4004, "stream_name_conflict"); return new Response(null, {status:101, webSocket: client});`. The handshake completes, then the close frame is delivered to the client with the AMS-defined code. For pre-DO failures (invalid permissive token, invalid bearer, missing conversation), the Worker returns HTTP 401/404 instead — no WebSocket has been established yet, so close codes don't apply. The split is consistent with what ARCHITECTURE.md §3 implies (Worker validates pre-upgrade, DO validates post-upgrade) but is not stated explicitly anywhere in the docs; recording here for future reference.
