type	typeName	facet	quality_score	quality_max	quality_level	title	content
O	Observation		4	4	strong	The AMS overlay already canonized the subscriber-not-wire architecture — gap inventory found four genuine gaps not three	D0010 (irreversible) plus observability-payload-boundary (Tier 1) plus observability-as-subscriber (Tier 2 principle) cover the architectural decision, the safety boundary, the hook+subscriber split, and the capabilities declaration. The remaining gaps were: (1) state-totals/cardinality strategy distinct from activity-stream sums; (2) wire-layer latency vocabulary distinguishing TTFF from LLM TTFT; (3) token-count derivation procedure on subscribers (cl100k_base); (4) HMAC promotion to AMS reference deployment default. Items 1-3 were unaddressed; item 4 was permitted-as-stronger-option but not chosen as default.
O	Observation		4	4	strong	Provider usage blocks cannot enter the AMS wire — earlier planning answer was wrong for this service	An earlier planning turn proposed using provider `usage` blocks (Anthropic, OpenAI) as the billing-canonical token source with cl100k_base as fallback. AMS is a broker between agents (AMS.md §3); agents call providers directly; provider responses including usage metadata never traverse the wire. The wire-layer token count is necessarily an approximation; the correction is recorded in canon/principles/token-count-derivation-on-subscribers.md §"What the Subscriber Cannot Compute".
O	Observation		4	4	strong	"TTFT" applied to wire-layer measurements would be a category error — coined TTFF instead	A `token` frame in AMS may carry one LLM token, a chunk, a complete utterance, or non-LLM bytes (PROTOCOL.md §7 keeps data opaque). Calling first-frame latency "TTFT" imports a meaning the wire cannot guarantee. The new principle (canon/principles/wire-layer-latency-vocabulary.md) coins TTFF (time to first frame) as the wire-layer metric, restricts TTFT to anchored conversations (voluntary `model_invoked` metadata), and forbids silent substitution.
D	Decision		5	5	strong	D0013 — state totals via per-minute Cron snapshot worker, reusing existing 6-double slots	Per-minute Cron worker reads operational stores (KV for accounts/conversations, DO enumeration for live streams), writes one row per metric per tick to the same `ams_telemetry` Analytics Engine dataset as the activity stream. event_type='state_snapshot', metric name in endpoint_or_close_code (blob 2), value in peer_count_at_event (double 5) — slot reuse rather than schema expansion. Door type two-way (removing the worker leaves wire conformance intact). Cost: ~5,800 writes/day, well under AE free tier. Authoritative at ams://canon/decisions/D0013-state-totals-via-snapshot-worker.
D	Decision		5	5	strong	HMAC-SHA-256 promoted to AMS reference deployment default for identifier hashing	Boundary doc amended in §"Hashing and Pseudonymization" — HMAC-SHA-256 with sink-local secret (provisioned as `AMS_TELEMETRY_HASH_KEY` Cloudflare Workers secret), truncated to 12 hex chars, becomes the AMS reference default. Unkeyed SHA-256 retained as documented downgrade. Threat model: read access to telemetry sink + candidate account_id should not be sufficient to confirm a match. Rotation = one-way break with prior aggregations (also a right-to-be-forgotten purge mechanism).
P	Principle		4	4	strong	Slot reuse over slot expansion when extending an active hook-layer schema	Both new doc additions (D0013 snapshot worker + token-count derivation aggregations) ride peer_count_at_event (double 5) with event_type discriminating semantics, rather than expanding the 6-double allocation. Reasoning: every new slot ripples through every existing dashboard query and every existing analytics consumer. Slot reuse with discriminating event_type keeps the schema flat, the SQL one-table, and the upgrade path zero. The pattern is named informally — could be promoted to its own canon principle if the next overlay extension faces the same call.
C	Constraint		4	4	strong	The subscriber-as-telemetry-collector pattern is "simple vodka" — telemetry never enters the hot path	Operator framing during planning: "It's just a subscriber. Not in the middle to slow it down." This is exactly D0010's polymorphic-subscriber model applied to observability. The token-count-derivation principle codifies the rule: tokenization happens off the broker's hot path on the subscriber's runtime. The broker emits to every subscriber by its broadcast rule; the observability subscriber tokenizes the bytes in its own runtime. No hot-path coupling.
L	Learning		3	3	strong	Existing AMS canon house style uses frontmatter (tier/stability/governs) for confidence signals — explicit "Confidence:" headings would bloat	oddkit_challenge's prerequisite checklist asked for confidence/disconfirmer/reversibility signals on each of the 4 new artifacts. A general-purpose checklist; AMS canon already encodes these via frontmatter `tier`, `stability`, `status`, `governs` plus body sections "What Forecloses" and "What This Is Not". The pattern is implicit. D0013 added an explicit "Door Type, Confidence, and Retraction" section because the gauntlet's reversibility pressure on Tier-2 decisions deserves the explicit door classification per SPEC §9 vocabulary. Two principle docs left implicit per existing house style.
L	Learning		3	3	strong	oddkit_audit scopes to the canonical knowledge base writings/ tree by default — overlay canon needs manual link integrity check	`oddkit audit canon` against knowledge_base_url=https://github.com/klappy/agent-messaging-service scanned the upstream `writings/` tree, not the AMS overlay's `canon/` directory. Returned 0 findings. Manual link integrity audit on new artifacts found one real issue: `klappy://docs/oddkit/tools/telemetry_public` does not resolve; canonical URI is `oddkit://tools/telemetry_public`. Fixed in docs/observability-dashboard.md §"See Also". All other ams:// and klappy:// URIs in new artifacts resolved.
C	Constraint		4	4	strong	Day 3 PR #21 is on close codes 4001/4002/4005/4500 + examples/two-agents/ — zero overlap with observability gap-fill	Verified before writing: PR #21 modifies worker/src/{conversation,index}.ts and adds examples/two-agents/ + a poc-build-repeatability principle. Does not touch canon/decisions/, canon/constraints/observability-payload-boundary.md, canon/principles/observability-*, or any telemetry surface. D0013 numbering is also unused on the PR. The amended boundary doc is the only file in this gap-fill that overlaps a file Day 3 might also touch — and Day 3 doesn't touch it. Safe to land in parallel.
