type	typeName	facet	quality_score	quality_max	quality_level	title	content
O	Observation		4	4	strong	The homepage hard-coded 2-agent in three load-bearing surfaces	The homepage at worker/src/homepage.ts hard-coded "two agents" in three load-bearing surfaces — meta description (line 28), og description (line 31), and hero subhead (line 871) — plus the demo §02 title (line 963). This contradicted the canon position that AMS is N peers + N polymorphic subscribers (D0001:54 "one emission, N subscribers"; D0009:28 "multi-party group"; operator-as-subscriber:79 "any kind of entity — agent, function, IoT device, human"; observability-as-subscriber:20 observers attach "exactly like an agent peer"). The constraint title canon/constraints/two-agent-conversation-conventions.md spells it out — two-agent is a recommended convention for the demo gate, not the wire shape.
O	Observation		4	4	strong	The TCP/IP analogy on the homepage imports semantics AMS disowns	The TCP/IP framing on the homepage (meta, og, hero lede line 874) is great for "thin, unopinionated, layers above sit on top" but TCP itself does many things AMS deliberately does NOT do — ordering, retransmission, flow control, congestion control, delivery semantics. A reader who knows the stack will quietly assume AMS provides those guarantees, which contradicts D0001's "AMS does not parse, validate, schema, or interpret."
O	Observation		4	4	strong	The SMS / dumb-pipe analogy is already canonical but absent from the homepage	ESSAY.md:67 and AMS.md:306 both establish: "AMS… a deliberate nod to SMS — a primitive, ubiquitous, dumb-pipe substrate that nobody thinks about because it just works… SMS does not know what your text means. Neither does AMS." This vodka-checks cleanly because SMS is famously dumb about payload, which is exactly what AMS does. The acronym echo is intentional. Yet the homepage surfaced none of this — it was purely TCP/IP-flavored.
L	Learning		4	4	strong	Demo cardinality leaks into architectural framing when "two" is concrete and N is abstract	Two agents is concrete and demoable on Day 2; N agents + polymorphic subscribers in arbitrary topologies is abstract and harder to draw. Without explicit discipline, the demo's cardinality silently became the architectural claim. The vodka-discipline fix is to scope demo language to the demo and keep architectural language N-shaped. "Two doors" stayed because it's authorization (mint vs join), not cardinality. "Two terminals + wscat" stayed because it's a literal instruction. Only "two agents" as architectural claim got flipped.
L	Learning		4	4	strong	The fix for analogy bloat is not more analogies — it is swapping in the one that vodka-checks	The homepage was already analogy-rich (wire, TCP/IP, brokers tokens, two streams one wire, four endpoints). Adding more risked dilution. The win was layering in the SMS / dumb-pipe analogy from the docs (which vodka-checks cleanly) as a paired beat with TCP/IP, plus surfacing polymorphic subscribers as a first-class concept since it was previously absent from the page despite being arguably the most distinctive thing AMS does.
D	Decision		4	4	strong	Flip cardinality copy to N where the claim is architectural; preserve "two" only where literal	worker/src/homepage.ts edits: meta description and og description flipped from "two agents" to "N peers, any subscribers — humans, observers, services — all equal at the wire." Hero subhead flipped from "Two of them join a conversation. Each writes to its own stream. Tokens flow between them." to "N peers join a conversation. Each owns a stream. Tokens fan out to every subscriber — peers, operators, observers, anything that can listen." Demo §02 title preserved as "Two agents. Two streams. One wire." with a new italic gloss line beneath it linking to #subscribers.
D	Decision		3	4	adequate	Pair TCP/IP with SMS rather than retire it	The TCP/IP analogy carries semantic baggage AMS disowns, but the operator's own follow-up draft preserved TCP/IP in the meta description. Conservative call: keep TCP/IP, add a second hero lede paragraph in the SMS / dumb-pipe register that softens TCP/IP's semantic-import problem and echoes the canonical ESSAY.md framing. Wording: "A dumb pipe for agent tokens — the acronym is a deliberate echo of SMS. Carriers move bytes; they don't read them. AMS moves tokens; it doesn't parse them." Not retiring TCP/IP unilaterally is a judgment call subject to operator override.
D	Decision		4	4	strong	Surface polymorphic subscribers as a first-class homepage section	New <section id="subscribers"> inserted between hero and live-wire status bar. Eyebrow: "The wire's promise · One emission, N subscribers." Title: "Agents. Humans. Observers. Services. Same wire, same primitive." Body cites operator-as-subscriber, observability-as-subscriber, and D0001 inline. Polymorphic subscribers were arguably the most distinctive thing AMS does and were previously absent from the page; this fixes that absence and gives the demo gloss a place to anchor its #subscribers link.
C	Constraint		4	4	strong	Per-query dynamic orchestration / substrate-thesis reframing is OUT of scope for this session	The dial-tone / substrate / per-query-dynamic-orchestration framing is the strongest version of the AMS positioning argument and is not on the homepage at all. Surfacing it would be a bigger swing than the cardinality fix and conflating the two would have violated mode discipline (introducing scope mid-execution). Deferred to a separate planning conversation.
C	Constraint		4	4	strong	Two-agent framing remains valid in three places and was preserved	Two-agent framing was preserved where it is structurally accurate: (1) the in-page theatre demo title — it literally is a two-agent demo; (2) the "two doors" mint/join authorization framing — "two" refers to the authorization model, not agent count; (3) the "two terminals + wscat" instruction — literal demo step. Only architectural claims about cardinality were flipped to N.
H	Handoff		4	4	strong	PR #19 awaits operator review; merge triggers worker redeploy to ams.klappy.dev + ams.truthkit.ai	Branch: homepage/n-cardinality-and-dumb-pipe. Commit: d9913c8. PR: https://github.com/klappy/agent-messaging-service/pull/19. Diff: 1 file, +20/-3, worker/src/homepage.ts only. TS compiles clean (npx tsc --noEmit, zero errors). Visual proof captured in three screenshots showing hero N-copy, SMS beat, new subscribers section, and demo gloss rendering as intended. On merge, the worker redeploys to both ams.klappy.dev and ams.truthkit.ai (D0011 multi-host CNAME). No protocol or SPEC changes — version stays v1.1.1.
