type	typeName	facet	quality_score	quality_max	quality_level	title	content
O	Observation		5	5	strong	Operator floated per-token encryption as a paid-tier feature for zero-trust situations; placement question is where in the layer stack	Operator framed the idea as: a value-added encryption service where out-of-band exchange handles keys and encrypted tokens flow through AMS in-band. Floated as wrappable for zero-trust deployments. The implicit positioning was paid-tier feature, with the architectural placement deliberately left open. The conversation then converged on pre-syndication placement (producer-side wrapper encrypts before the wire) as most secure, since it removes the broker, the StreamBufferDO, and every non-key-holding subscriber from the content trust loop.
O	Observation	correction	5	5	strong	Initial Claude misclaim about token-count derivation degrading under encryption was operator-corrected; cardinality is 1:1	Claude initially listed token-count derivation degradation as a side effect of encryption, asserting that encrypted streams would force observability subscribers to count ciphertext bytes rather than LLM tokens. Operator corrected: if the encryption unit is the wire-token unit (as D0001 already locks), then 1 plaintext token in produces exactly 1 ciphertext token out — frame count preserved, token-count derivation continues to operate without change. Claude had conflated this with byte-tokenizer approximation over arbitrary opaque payloads, which was the wrong cut for AMS since the wire unit was always already the token. Correction adopted; the 1:1 cardinality property is now a load-bearing correctness invariant of P0001.
O	Observation		4	5	strong	No existing proposals track in canon — proposals would need a new directory and governance doc to land cleanly	Searched canon for proposal/governance/status-proposed patterns. Closest hits: docs/homepage-governance.md (governance doc precedent), D0007 (locking-surface discipline at decision level), D0008 (HORIZON as constraint catalog vs. decision catalog), knowledge-base.md (overlay placement). All canon decisions to date use status: active. No directory exists for unsettled material under review. To open P0001 cleanly required bootstrapping the proposals track itself — hence the dual deliverable (docs/proposals-governance.md + canon/proposals/P0001-...).
L	Learning		5	5	strong	Encryption-unit alignment with wire-unit preserves all frame-count-derived metrics; this is the discipline that lets pre-syndication encryption compose with the rest of the substrate	A naïve encryption scheme that buffered N plaintext tokens and emitted them as one larger ciphertext blob would break wire-token semantics, break selective subscription's per-frame routing, and break the buffer's per-token eviction. The 1:1 discipline (encrypt at the wire unit, not below or above it) is what makes pre-syndication encryption compose cleanly with D0017 (selective subscription), D0018 (multi-stream), D0019 (cross-session resume), and D0016 (buffer eviction). This generalizes: any future content-transformation primitive AMS documents must preserve 1:1 frame cardinality or it forfeits clean composition with the existing wire-shape decisions.
L	Learning		5	5	strong	TLS is structurally unsuitable as the AMS encryption layer despite already running at the transport	TLS at wss:// is point-to-point. Each subscriber's connection has its own TLS session; the broker decrypts inbound, broadcasts plaintext within the Worker, re-encrypts outbound to each subscriber. The broker sees plaintext. Adding "another" TLS layer between specific peers does not fix this because peers do not have direct connections — every peer-to-peer path traverses the broker. The trust property the encryption layer exists to deliver (broker outside the content trust loop) requires application-layer encryption above TLS, not at TLS.
L	Learning		5	5	strong	Naked RSA per token is the wrong altitude in 2026; modern messaging encryption uses RSA only as a key-encapsulation step inside hybrid schemes	Three rejection grounds: (i) RSA-OAEP at 2048 bits caps plaintext at ~190 bytes, and tokens routinely exceed this; chaining multiple RSA blocks per token would break 1:1 frame cardinality. (ii) RSA-encrypt per token is orders of magnitude slower than AES-GCM and would dominate emit latency. (iii) Modern messaging primitives (HPKE, MLS, Megolm, libsodium crypto_box) all use RSA — when they use it at all — as a key-encapsulation step inside a hybrid construction. Naked RSA as a per-message primitive is not how 2026 messaging is built. AES-256-GCM with stream-scoped symmetric key (with HPKE as the asymmetric path for sealed-recipient cases) is the right altitude.
D	Decision	preliminary	4	5	strong	P0001 commits to pre-syndication placement and AES-256-GCM as v1 primitive; status is PROPOSED until operator answers the D0020 dial-tone-vs-application question	Drafted as canon/proposals/P0001-stream-encryption-as-pre-syndication-wrapper.md. Status: proposed. The proposal commits architectural shape (pre-syndication, around the buffer pipeline, at the producer's wrapper), the v1 symmetric primitive (AES-256-GCM with stream-scoped key, 12-byte nonce + ciphertext + 16-byte auth tag, monotonic nonce, stream_id as AAD), HPKE as the documented asymmetric path, MLS and Megolm as deferred future primitives, and the 1:1 frame-cardinality correctness property. The proposal explicitly does NOT commit on the placement question — whether AMS itself ships the wrappers as a paid platform-level VAS (option b, dial-tone) or documents the pattern and leaves implementation to third-party VAS providers (option a, application — D0020's default). Operator answers (a) or (b) at promotion time. Quality 4/5 (not 5/5) because the open question is unresolved by design; promotion will produce the strong-quality DNNNN.
D	Decision		5	5	strong	A proposals track is bootstrapped at canon/proposals/ with parallel PNNNN numbering, distinct from the DNNNN active-canon series	Drafted as docs/proposals-governance.md. The track separates settled decisions (canon/decisions/, status: active, often irreversible) from ideas under review (canon/proposals/, status: proposed). PNNNN numbering is independent of DNNNN; on promotion, a proposal receives a new DNNNN at promotion time and the proposal file is removed in the same atomic PR. Rejected and withdrawn proposals retain their PNNNN with status: rejected or status: withdrawn and a rationale section. Required frontmatter, required content sections, lifecycle states, promotion procedure, and branch/PR conventions are all named. The governance doc itself is status: active because it governs the lifecycle even though everything it manages starts as status: proposed.
C	Constraint		5	5	strong	Any content-transformation primitive AMS documents in the future must preserve 1:1 frame cardinality with the wire-token unit	Generalized from the 1:1 cardinality property in P0001. The wire-token unit is fixed by D0001. Pre-syndication encryption preserves it. So must any future primitive that sits between producer-emit and the wire — compression, redaction, signing, framing transformation. If such a primitive collapses or expands frame counts, it forfeits clean composition with selective subscription (D0017), multi-stream (D0018), buffer eviction (D0016), and cross-session resume (D0019). This constraint should be promoted into a tier-2 principle if any future primitive proposal lands.
C	Constraint		5	5	strong	OOB key exchange must remain structurally outside AMS endpoints; keys never traverse the wire	Codified in P0001. The producer's wrapper holds the key when emitting; the consumer's wrapper holds the key when decrypting; the wire, the buffer, and any non-key-holding subscriber never hold the key. Mechanism (KMS, separate REST endpoint, capability-bearer-token-with-embedded-key, X3DH-style asynchronous handshake, etc.) is deployment choice. The architectural commitment is "OOB, not via AMS." This keeps the wire's permanent non-goals list intact and ensures that even under platform-shipped placement (option b), AMS never custodies keys.
