type	typeName	facet	quality_score	quality_max	quality_level	title	content
D	Decision		5	5	strong	Per-query dynamic orchestration is named as AMS's design forcing function	The Sovee inversion of statistical machine translation — index globally, compose dynamically per-query, beat pre-trained universal capability with just-in-time targeted work at 250ms — is the design lineage AMS belongs to. AMS exists to be the substrate for orchestration topologies that are built per-query from indexed primitives, executed in milliseconds, then dissolved. This forcing function is the throughline that connects D0001 (tokens not messages), D0006 (dream-house wire), D0009 (stream as primitive), D0010 (observability as subscriber), and the vodka discipline overall. The principle does not introduce new wire decisions; it makes the existing coherence explicit and gives canon a forcing function to evaluate future wire changes against. Encoded as ams://canon/principles/per-query-dynamic-orchestration (Tier 2, semi-stable).
D	Decision		5	5	strong	AMS success criteria locked: utility-to-self plus maintainable foundation; external adoption is not a criterion	The success bar for AMS is "meets our needs as substrate for our verticals (Truthkit and others), enables products that have value, and remains maintainable." External adoption is not a success criterion. Adoption-class risks (no-vertical-takes-the-bet, slice-legibility-to-capital, dial-tone-with-no-killer-phone) collapse under this criterion because the operator's verticals are the verticals AMS exists for. Maintainability becomes THE binding constraint, with no community to catch failures and no investor pressure to keep shipping. Journaled as a D rather than promoted to a canon D-doc this session; D0011 candidate for a follow-on session if the operator wants it codified beyond this entry.
D	Decision		5	5	strong	Federation lives as a participant pattern: anybody can forward streams	A forwarder is a polymorphic subscriber on broker A that also writes on broker B — reads X's stream on A, owns and re-emits it on B. D0001 (tokens as wire unit), D0003 (per-account ownership), and D0009 (ownership-excludes-subscription) compose to make this work without the broker growing any opinion about peer brokers. The wire stays vodka. Federation is something participants do, not something the protocol mandates. Higher-layer concerns (provenance, loop prevention, trust transitivity, discovery bootstrap, latency stacking) belong above the wire as participant conventions, not as wire features.
L	Learning		4	4	strong	Vodka discipline applies to premortem analysis itself, not just to wire design	The premortem exploration twice slipped into participant-layer concerns dressed as wire-layer concerns (federation forwarding metadata, broker-product features, N8N/LangChain positioning). Each was a layer-discipline failure on the analysis side, even though the underlying wire decisions stayed clean. The same discipline that keeps the wire empty must be applied to the analysis that evaluates the wire — most premortem items belong at one specific layer, and conflating layers inflates AMS's surface area while feeling like care. The corrective is the explicit layer vocabulary used in this exploration (wire / broker-product / participant / Truthkit) and the practice of naming the layer before naming the concern.
L	Learning		4	4	strong	The dream-house design and cut-for-reality separation extends to scoping decisions	D0006 is usually read as a runtime adaptation principle (wire stays clean, edge wrappers absorb runtime variance). It also governs scoping. Each "not now" decision in the cut-for-reality must be a deferral, not a delete. The cut should never include a choice that forecloses a dream-house future without anyone noticing. The premortem reframes accordingly: not "what fails if AMS becomes a public protocol" but "what choices in the cut quietly foreclose the public protocol becoming possible later." Vodka is the structural answer; silent erosion is the risk.
L	Learning		3	3	strong	The existing wire decisions cohere around the per-query latency forcing function	D0001, D0006, D0009, and D0010 read as independent decisions on their own merits. Their coherence becomes visible once the per-query dynamic-orchestration forcing function is named: each preserves the per-query latency budget under a different pressure (writer concurrency, substrate portability, structural parallelism, cross-cutting concerns kept out of the hot path). The principle does not change any decision; it explains why the constellation looks the way it does, which is information that governs future "should we add X" calls more sharply than the individual decisions do alone.
L	Learning		3	3	strong	The N8N/LangChain inversion framing is a special case of the Sovee inversion	N8N and LangChain assume the orchestration topology is known in advance and worth pre-building. The Sovee inversion says: build the topology per-query from indexed substrate, in milliseconds. AMS's emergent-topology-from-stream-subscription is the wire shape that enables this. The N8N/LangChain comparison was the right shape for the wrong reason during the exploration; the Sovee analogy is the actual reason. The "compatible but inverted force multiplier" framing the operator named lands as Truthkit-layer positioning that is sharper than the N8N/LangChain comparison was.
O	Observation	open	3	4	adequate	DO performance characteristics for AMS-Sovee shape are unmeasured	The latency-budget forcing function survives in the principle but is not yet validated on the reference impl. Specific items to benchmark against a Sovee-shaped synthetic workload: per-hop latency (target sub-15ms warm), conversation lifecycle cost (cold DO + magic-link issuance + two-door registration), stream creation and teardown cost, hibernation wake latency, cross-DO coordination cost when a per-query topology touches N conversations on N DOs, and geographic placement cost for non-colocated subscribers. Result determines whether DOs hit the budget for Truthkit-class workloads or whether the substrate-swap option (D0006) becomes the next move at the impl layer.
O	Observation	open	3	3	strong	Control-plane reads can borrow the SHA-keyed three-tier cache pattern from the operator's other MCP work	The R2 + Cache API + memory cache pattern with SHA-keyed addressing — content-addressable, no-stale-data-by-construction, near-zero stacked latency on cache hit — is a read-path pattern. AMS's hot path is write-and-route, where DOs are the right primitive. But the AMS control plane (conversation metadata, membership, capabilities, magic-link validation) is read-heavy and currently lives in DO storage where it serializes on the DO's single thread. Moving control-plane reads to the SHA-keyed three-tier cache offloads work from the DO and frees it to focus on broadcast. Implementation-layer optimization that does not change the wire. KV is explicitly ruled out for any Sovee-shaped path due to consistency and cold-read latency.
O	Observation	open	3	3	strong	Substrate-abstraction layer in the reference impl deserves a once-over while the codebase is small	The "trivial swap and replace" claim for substrate portability is operator-asserted and architecturally sound under D0006. Confirming the abstraction is actually wrapped cleanly in the reference impl now, while the codebase is small, is materially cheaper than confirming after Truthkit needs to scale. This is the option-preservation work that keeps the dream-house design viable if the chosen substrate cannot deliver the latency budget under load.
