type	typeName	facet	quality_score	quality_max	quality_level	title	content
O	Observation		5	5	strong	ams.klappy.dev homepage is live with mint flow but join door is parser-only due to browser WebSocket Authorization limitation	Probed https://ams.klappy.dev/ on 2026-05-03 (UTC). The homepage serves the IBM-Plex-themed two-doors interface from worker/src/homepage.ts and exposes a working POST /v1/accounts → POST /v1/{ns}/conversations mint flow that returns a real magic_link — mint door (i) hits the live API. The join door (ii) is explicitly a parser, not a chat client: it accepts a magic link, parses it, and then prints a wscat command for the user to run in a terminal. The reason is structural: browsers cannot set the Authorization header on a new WebSocket(url) constructor (RFC 6455 + browser API), and the AMS wire requires Authorization at /connect. This is the exact gap D0012 names — the browser is a runtime, the answer is the MCP wrapper, not a wire extension. The homepage's SIM badge text 'In-browser SIM (browser WS auth limit)' remains correct. Implication for the 'two Claudes type at each other through the browser' use case: not possible today; both seats currently require a credential-capable runtime (terminal, Node, or eventually the MCP wrapper).
O	Observation		4	5	strong	/mcp endpoint at ams.klappy.dev returns 404 — the SessionDO wrapper is documented but not yet live	"POST https://ams.klappy.dev/mcp with a valid JSON-RPC 2.0 initialize body returns HTTP 404 with body {""error"":""not_found"",""message"":""No route for POST /mcp.""} as of 2026-05-03 (UTC). The README's 'next slice' wording is current. Until the MCP wrapper ships, every browser-based participant scenario, every cross-session-continuity scenario, and every 'pay per conversation' agent-driven flow is gated. The wrapper is the critical-path artifact; SPEC §3.1 items 4 and 5 and the §3.2 demo gate all depend on it."
O	Observation		5	5	strong	No major model API server-buffers streaming tokens; 'resume' is universally a client-side reconstruct-and-re-prompt pattern	Verified via current Anthropic documentation (docs.anthropic.com/en/api/messages-streaming) and OpenAI community + Codex bug reports. Anthropic's documented 'resume' pattern: capture partial response client-side, construct a new API request with the partial as the start of an assistant message, ask the model to continue. For Claude 4.6+, an explicit user message ('continue from where you left off') is required. This is prompt engineering, not server-state recovery. The server holds nothing between requests. OpenAI streaming behaves identically; Codex bug #18676 also reveals that even when OpenAI does encrypt-and-store some session state internally, encryption keys rotate within hours-to-days, making old session blobs un-decryptable. Industry pattern: every shop that needs resumability rebuilds the buffer-and-fan-out layer one-off (Convex documented one such build for OpenAI; Vercel ships another in its AI SDK). This grounds AMS+persistence as net-new value rather than parity work.
O	Observation		5	5	strong	Stripe Sessions 2026 (April 29) shipped exactly the agent-economy rails the AMS dial-tone vision requires	Five days before this conversation, Stripe announced 288 product updates including: (a) Agentic Commerce Suite + Agentic Commerce Protocol (ACP) — open standard for agent-merchant integration; (b) Shared Payment Tokens (SPTs) — payment primitive scoped by business/time/amount, designed for agent-initiated payments without exposing credentials; (c) Link wallet for agents — programmatic OAuth access, one-time-use cards or SPTs; (d) Issuing for agents — virtual cards with spending controls; (e) Stripe Streaming Payments — pay-as-you-go billing at token-machine-speed via Metronome metering + stablecoin micropayments on the Tempo blockchain, explicitly named to solve the problem of charging for tokens at speeds existing rails cannot handle; (f) Stripe Projects — lets agents (per Stripe's own framing) sign-up for and purchase services. Anthropic is named on Stripe's ACP early-partner list. The substrate the operator's 'phone lines for agents' vision needs is shipped, not aspirational. The competitive window for AMS to position itself as the dial-tone substrate for agentic commerce is now open.
O	Observation	open	4	5	adequate	Operator 'one conversation per project, concurrent agents discover each other's work in real time' use case is partially gated by v1 conservative configuration	The original framing motivating the conversation was: a conversation per github project, multiple concurrent Claude sessions emit on their own streams, real-time discovery of conflicting work surfaces before PR merge. The buffer primitive (D0016) supports this architecturally. However, the v1 configuration of 1 minute / 1 MB per stream — deliberately conservative per the operator's start-tight-grow-up positioning — does not cover typical Claude turn gaps (this conversation alone has had 4-hour and 14-minute gaps between turns). At 1-minute TTL, a Claude session reconnecting after a typical turn gap finds an empty buffer. The operator clarified this is acceptable: the buffer is for real-time line resilience (network blip, brief reconnect), not async catchup; the headline use case will land when configuration ceilings rise. Open observation — track when demand pulls the configuration ceiling and whether the headline framing needs re-positioning.
D	Decision		5	5	strong	D0016: Buffering and persistence are a wrapper-layer primitive — built once, composed by N wrapper classes, account-gated, per-stream-sharded, TTL+size bounded	Encoded as canon/decisions/D0016-buffering-and-persistence-as-wrapper-primitive.md (tier 1, stable, irreversible at architectural level). The decision: (a) The wire (Conversation DO) never persists; persistence lives in the wrapper layer per D0006. (b) The primitive has exactly four properties — per-stream sharding, TTL bound, size bound, both bounds enforced FIFO. (c) Account-gated: no-account demo path = no buffering at all; account credential is the unlock. (d) The reference implementation is a per-(account, stream) StreamBufferDO that subscribes to the wire as a normal account-credentialed reader, captures token + stream_metadata frames, exposes a small read API for catchup (since_ts, last_n, cursor). (e) Discontinuity announcements use the existing set_metadata primitive per PROTOCOL.md §4.4 — no new wire frame type. (f) Long-term storage is a separate composable subscriber pattern, not this primitive's job. (g) The architectural commitment (the primitive shape) is separated from the v1 product configuration (1 minute / 1 MB per stream, conservative starting point); tier structure and pricing model are explicitly punted as market-research questions to be resolved by product evidence rather than architectural fiat. Lifts SPEC §5 deferrals 'Replay / per-stream history' and 'Spill-to-storage for SessionDO buffer'. One-way door at the architectural level; two-way door at the configuration level.
D	Decision		5	5	strong	D0017: Selective subscription on connect via X-AMS-Subscribe-Streams header — additive wire change preserving today's default behavior	Encoded as canon/decisions/D0017-selective-subscription.md (tier 2, stable, two-way reversible). Composable wrapper chains require subscribers to attach to specific streams within a conversation, not all of them. The wire grows an optional X-AMS-Subscribe-Streams request header on /connect carrying a comma-separated stream_id list; the broker constructs the subscriber's read set as the intersection of admitted streams and requested streams. The joined server frame echoes the effective filter via a new subscribed_streams field. When the header is absent, broker behavior is exactly D0009's default (subscribe to all peer streams except own). Filter is by stream_id only — no metadata predicates, no name-based filtering, no wildcards (vodka discipline at the filter layer). Mid-connection filter mutations require reconnect. Lifts SPEC §5 deferral 'Selective subscription'. Backwards-compatible: existing clients see no difference.
D	Decision		5	5	strong	D0018: Multi-stream per account per conversation — single account may own many streams in one conversation; close code 4004 narrows; stream_name becomes a label	Encoded as canon/decisions/D0018-multi-stream-per-account-per-conversation.md (tier 2, stable, two-way reversible at protocol level but adoption-load-bearing). D0003 (per-account stream ownership) does not break — it expands. An account may register multiple streams in a single conversation, each with its own stream_id, metadata, emitting independently. PROTOCOL.md §6 close code 4004 narrows from 'name unique within conversation' to 'name unique within (conversation, account)'. Stream identity is stream_id (always unique); stream_name becomes a label after this decision and may collide between streams owned by the same account. Client convention SHOULD pick distinguishing names when an account spawns multiple streams in one conversation. Reader implications: aggregators, loggers, displays must use stream_id as primary key; treating stream_name as identity produces conflated streams. Lifts SPEC §5 deferral 'Multi-stream-per-account-per-conversation'. Unblocks every agent-orchestration scaling pattern (sub-agent spawning, harness composition, tool-call addressability, multi-process clients).
D	Decision		5	5	strong	D0019: MCP Session DO is keyed by (account_id, conversation_id) when buffering enabled, not by mcp_session_id — enables deterministic resume across MCP transport sessions	Encoded as canon/decisions/D0019-cross-session-continuity-via-account-conversation-keying.md (tier 1, stable, one-way door once buffered tier ships). POC-INFRA.md §6.1 keyed Session DO by mcp_session_id with explicit note that buffer is discarded when the session ends — correct for stateless single-shot uses, incorrect for turn-based MCP clients (Claude in any IDE, Desktop, claude.ai, Cursor) that open a fresh transport session per turn. Re-keyed to (account_id, conversation_id) for accounts on the buffered tier. Free tier and no-account path retain the original mcp_session_id keying (ephemeral, no continuity). Concurrent MCP transport sessions under one account share the Session DO as cooperative tenants: read coherence (same buffer view across tenants), write isolation (each tenant may register its own streams per D0018), parallel notification delivery. Lifecycle bounded by five explicit rules (idle timeout matched to buffer TTL, buffer expiration, account deletion, conversation deletion, configuration change). Three risks acknowledged: credential blast radius widens (bearer leak now leaks buffered conversation state); statefulness as conscious tradeoff; new multi-tenancy bug surface within a single account.
D	Decision		4	5	adequate	Persistence is one primitive, not many wrapper classes — composable across all wrapper types, no special cases	Operator framing: 'composable pipes is the best way forward. If I make exceptions for anything then it's a slippery slope.' Translation that landed in D0016: persistence is a wrapper-layer trait/primitive that any wrapper class can compose with, parameterized by tier, not a separate kind of subscriber per use case. The original thread-five framing ('per-stream StreamBufferDO for agent catchup') was correct as the reference implementation but architecturally too narrow — promoted to 'a primitive any wrapper composes with.' Future translator wrappers, redactor wrappers, model-adapter harnesses, etc., all inherit access to the same buffering primitive without per-wrapper reinvention. The discipline that makes this work: there must be a single shared substrate (library, base class, runtime) so wrapper authors don't fork the primitive. Documented in D0016 as a follow-up obligation.
