type	typeName	facet	quality_score	quality_max	quality_level	title	content
O	Observation (Open)	open	1	2	weak	[P0] Per-conversation runtime isolation as a possible paid tier — voice-dump capture	Operator surfaced an idea on 2026-05-02 (voice-dumped before forgetting): every conversation could optionally be promoted to its own isolated runtime instance (dedicated Worker, dedicated container, or equivalent) so that streams from different conversations never share runtime, with a stated security goal of structurally preventing a sandbox-escape from one conversation reading another conversation's traffic on the same wire. Open as a possible HORIZON.md / tier-of-service axis. Not a v1 commitment. Operator explicitly noted uncertainty about exact infrastructure shape (Workers vs Containers, lifetimes) and named this as "thinking out loud." Operator's framing: free public channel = shared runtime; paid tier = isolated conversation runtime ("your own phone line" was the metaphor floated). Source: voice-dump turn 1, this session.
O	Observation		1	2	weak	v1 architecture already provides per-conversation runtime boundary via Conversation DO	The current v1 reference architecture already provides a structural per-conversation runtime boundary via Cloudflare Durable Objects: ARCHITECTURE.md §4, POC-INFRA.md §3, and SPEC.md §"Two Durable Object classes" all specify one ConversationDO instance per active conversation, with the Worker holding no per-conversation state. This is a latent isolation property that has not yet been promoted into a stated security guarantee. The proposal's framing ("isolated worker per conversation") partially names something that is partially already true at the DO level. Distinct from "isolated Worker deployment per conversation," which would be a stronger and more expensive boundary.
O	Observation (Open)	open	1	2	weak	[P1] Threat model not yet articulated; isolation tier depends on which threat	Threat model not yet articulated. Distinct possibilities the operator's voice-dump conflates: (a) sandbox escape from a hostile token-stream emitter attempting to read concurrent streams on the same runtime; (b) compliance/regulatory tenant separation per account; (c) noisy-neighbor performance isolation rather than security; (d) defensive depth against future zero-days in the runtime itself. Each implies a different boundary (request-scoped V8 isolate, account-scoped Worker, conversation-scoped DO, dedicated dispatch namespace via Workers-for-Platforms, dedicated Container) and a different price point. Capture as the first question planning would have to answer before committing to any specific deployment topology or tier-of-service phrasing.
O	Observation		1	2	weak	V8 isolate boundary already exists per request; the actual risk surface is narrower	Cloudflare Workers run each request in a V8 isolate, so request-level isolation between any two requests already exists by platform default. The "shared runtime" risk surface the proposal names is therefore not "two requests share a process" — it is "two long-lived stateful objects (DOs, in-flight WebSocket loops) live in the same physical Worker deployment under the same account, theoretically reachable through a hypothetical CF-level escape." This is a much narrower and more honest threat description than "same worker = leakage." Without this nuance the marketing framing risks selling protection against a threat the platform already structurally precludes.
L	Learning		1	2	weak	Per D0006, deployment topology lives in the edge / wrapper layer — wire does not change	Per D0006 (dream-house wire, edge-wrapped reality), runtime adaptation lives in per-session edge wrappers — not the wire. By the same logic, deployment-topology choices (shared Worker vs dedicated Worker vs Workers-for-Platforms isolated dispatch vs dedicated Container) are deployment-tier concerns, not wire-spec concerns. This idea is structurally an edge / deployment proposal. The wire (PROTOCOL.md, the Conversation DO) does not change to support it. The corollary: any future canon doc on this topic belongs alongside ARCHITECTURE / POC-INFRA / HORIZON, not in PROTOCOL or in the canon/decisions tree that governs wire shape.
L	Learning		1	2	weak	Per D0009, conversation cannot become a unit of broadcast or wire-visible security boundary	Per D0009 (the stream is the primitive; conversation is a convenience grouping for stream discovery, not a unit of broadcast), the proposal cannot reframe conversation as a unit of broadcast or as a security boundary visible to the wire without contradicting the axiom. The isolation, if shipped, is a deployment-side property layered around the conversation, not a wire-side property carried by it. This is a constraint on how the idea may be implemented, not on whether it is interesting. A future doc must use phrasing like "per-conversation runtime placement" or "isolated dispatch per conversation" — not "per-conversation broadcast domain" or anything that re-makes conversation a wire-level unit.
C	Constraint		1	2	weak	A stated isolation guarantee creates a verifiability obligation — receipts surface is not free	Any stated isolation guarantee creates a verifiability obligation per the project's posture (Reality Is Sovereign; A Claim Is a Debt). Selling "your conversation is on its own dedicated worker" requires a way for a paying customer to prove that claim — deployment-topology attestation, audit log of dispatch placement, or a TruthKit-style harness probe that resolves the dispatch identity for a given conversation_id. The capture must carry forward the cost: feature is not free; the receipts surface is. Without verifiability the offer reduces to vibes-based marketing, which the project's foundational axioms reject.
O	Observation (Open)	open	1	2	weak	[P2] Slot in HORIZON.md tier-of-service axis — extends existing free-vs-paid framing	Pricing-tier framing — "free public channel" vs "paid isolated conversation" — is consistent with POC-INFRA.md §"Account creation" which already names the free-vs-paid axis (free unauthenticated namespaces vs paid signup with verified identity and abuse controls). This proposal extends that axis with a runtime-isolation tier above the existing identity/abuse-control tier. Open: where exactly this slots into HORIZON.md's tier-of-service catalog (new §, extension of an existing row, or both); whether it is one tier or two ("isolated DO posture promoted to guarantee" as the cheap tier vs "dedicated Worker / Container per conversation" as the strong tier); and what the operator-facing label is ("private line" was the operator's voice-dump metaphor and is a candidate, but naming is not locked).
H	Handoff		1	2	weak	Carry to next planning session that touches HORIZON.md or tier-of-service axis	Handoff to the next planning session that touches HORIZON.md or the tier-of-service axis: open this captured idea, articulate the threat model the proposal is actually defending against (which of the four listed possibilities, or a fifth), then decide whether the latent per-DO isolation is enough to ship a paid tier today, whether a stronger tier (dedicated Worker / Workers-for-Platforms / Container) is worth the verifiability cost, and where the canonical phrasing lives — HORIZON.md as a use-case row, a new ams://canon/decisions/D####, or both. Until that planning session happens: no protocol changes, no marketing claims, no canon promotion. This entry is the durable hook so the idea does not get lost in voice-dump amnesia.
E	Encode		1	2	weak	Provisional naming: "per-conversation runtime isolation" (property), tier label TBD	Provisional naming for the idea: "per-conversation runtime isolation" (the property), with a tier label TBD ("dedicated conversation worker" / "isolated conversation runtime" / "private line" — operator floated the phone-line metaphor). Naming is not locked; this is a placeholder so the idea has a handle while it sits in journal. Forbidden alternatives per D0005 vocabulary lock: "per-room isolation," "private channel," "dedicated topic" all violate the conversation-not-room / not-channel / not-topic discipline. When the planning session lands, naming should pass the same voice-and-vocabulary review every other AMS-facing label gets.
