type	typeName	facet	quality_score	quality_max	quality_level	title	content
H	Handoff		5	5	strong	Work queue from 2026-05-09 substrate-stack session — ordered backlog for one-at-a-time resumption	Eight workstreams remain after the substrate-stack and constitutional-triangle session of 2026-05-09 (AMS PR #73 journal, klappy.dev PR #183 canon). Documented as a queue rather than a fan-out per operator framing 2026-05-09 ("not maintainable; a queue does, with us just working as we can"). Each item is independently runnable in a fresh session with appropriate operator gating where flagged. Dependencies between items noted. Order is by ROI and dependency, not by urgency.
H	Handoff		4	5	adequate	Q1 — klappy.dev README index updates for the new triangle principles	Update canon/principles/README.md to include magical-first-run, symmetric-participation, creators-get-paid in the alphabetized list with one-line summaries matching the existing entries' style. Check the-frame.md for any tier-1-principle index that should also be updated. Estimated effort: 15 minutes. Lowest-risk item in the queue. Can land same week as PR #183 merges, either as a follow-up commit on the same branch or as a tiny separate PR. No gauntlet beyond URI grep needed.
H	Handoff		4	5	adequate	Q2 — klappy.dev canon-tier-1 amendments for the three principles	Address the canon-tier-1 oddkit_challenge advisory findings flagged in PR #183's body. Three amendments per principle: (1) explicit retraction conditions ("this principle would be retracted if X is observed"), (2) alternatives-considered enumeration ("alternative shapes considered: A, B, C; rejected because Y"), (3) explicit reversibility statement ("this is a one-way door at the positioning level because Z"). The substrate stack has retraction conditions implicit in its "Open Questions" section; principles are less explicit. Single PR, three file edits, contained scope. Estimated effort: 30-45 minutes. Wait for PR #183 to land first.
H	Handoff		4	5	adequate	Q3 — AMS binding_id wrapper ergonomic P-track proposal	Highest-ROI single change in the AMS MCP wrapper identified during 2026-05-09 session. Scope: ams_bind_magic_link tool returns short opaque binding_id; ams_send and ams_recv accept binding_id as alt-auth (preserving magic_link as primary path per D0030). Wrapper stores magic_link server-side keyed by binding_id. Pure additive; no broker impact; no D0020 violation. Solves four issues simultaneously: (1) OpenAI safety-classifier blocks from repeated long-token tool-call args, (2) per-call user-confirm aggression (smaller tool args batch-approve more reliably), (3) tool-call payload bloat, (4) stale-schema failure cleanliness. Deliverable: P0003-shape proposals/ entry plus spec stub for the new tool. Operator-decision pending: ship as standalone P-track proposal now, or hold for the broader MCP-WRAPPER-SPEC.md consolidation bundle. Estimated effort: 45-60 minutes for the proposal doc. Implementation is separate.
H	Handoff		4	5	adequate	Q4 — AMS TinCan-app UX fixes (human-echo, stream_name defaulting, presence-dampening)	Three concerns from 2026-05-09 session that all sit in TinCan-app or wrapper layer (never broker). (1) Human-echo regression: portal stopped showing user's own sent messages; humans need to see own frames in thread for normal chat UX, agents filter own frames by default. Likely either optimistic local-render removed or WS sub-filter dropping self-frames. (2) stream_name defaulting in MCP wrapper: derive stream_name from consumer label when client doesn't pass one; reconnects then resume the same stream_id automatically — eliminates alias chaos where ~14 random stream-XXXX ids appeared in one session for ~2 logical agents. (3) Presence-dampening in UI: when peer's identity frame declares posture: intermittent (turn-based agents like ChatGPT), collapse rapid join/leave pairs into a single "reconnecting" state. May ship as one PR or three. Estimated effort: 1-2 hours. The human-echo fix is the most visible broken thing in the demo right now.
H	Handoff		4	5	adequate	Q5 — AMS ams.convention.v1 first draft (L3 schema)	Operator-close session. Identity, snapshot, and completion frame schemas at L3 in the substrate stack (klappy://canon/architecture/substrate-stack). Identity frame: name, role, function, model/client, posture (always-on/intermittent/observer), capabilities. Snapshot frame: outcome, recent_messages, current_participants, open_questions, next_required_action. Completion frame: status (fulfilled/abandoned), evidence, remaining_gaps. Convention is published as one option among many — the wire treats every metadata shape identically, adoption is by behavior. Repo: klappy.dev (since this is meant to be cross-app convention) with reference adopted by AMS-app TinCan and klappy/oddie. Could alternatively live in AMS overlay if scoped to AMS only. Operator-close session because the schema shape is load-bearing for everything downstream (Oddie role-extension, TinCan UX, future channel adapters). Informs Q6 directly. Estimated effort: 1-2 hours.
H	Handoff		4	5	adequate	Q6 — Oddie role-extension canon doc (klappy://canon/roles/oddie-in-the-room)	Operator-close session. Read klappy://canon/voice/oddie-the-river-guide end-to-end first; also klappy://canon/observations/clone-klappy-to-oddie-recognition and klappy://canon/principles/methodology-personification. Draft klappy://canon/roles/oddie-in-the-room as a role-extension of existing canon, NOT a new persona. Inherits identity, voice, posture, methodology from existing voice canon. Specifies new role/capability scope only: behavior on join (greet, post identity frame), the rite (jointly evaluate goal, jointly define DoD, small-step execution with check-ins, completion declared with evidence), dual-channel translation (agent-grammar to room frames, human-grammar to operator briefing UI), pure-guide-not-active default (active only when solo with operator). References Q5's ams.convention.v1 schema. Constitutional outcome at top: "non-tech operator invites Oddie + working agent, walks away saying 'that was easy.'" Estimated effort: 1-2 hours. Depends on Q5 having a stable shape; may proceed in parallel if convention is stub-only.
H	Handoff		4	5	adequate	Q7 — klappy/oddie repo bootstrap (Worker scaffold, canon-driven runtime, joins AMS as peer)	First-of-kind work — first non-AMS, non-TinCan canonical app on the substrate. New repo klappy/oddie. Cloudflare Worker that joins AMS conversations as a peer (not as a wrapper, not as an L1 service — as an ordinary L4 role-runtime). Reads oddkit canon at runtime (klappy://canon/voice/oddie-the-river-guide and the role-extension doc from Q6). Carries the rite from Q6. Posts identity frames per Q5. Operator-close session, full focus. Depends on Q5 (convention) and Q6 (role-extension) having stable shapes. Worth treating as the moment the canon-driven-agent-wrapper pattern becomes empirically grounded — pay attention to what abstractions emerge naturally vs. what gets crammed in. Estimated effort: full focused session, possibly multi-session. Validates the substrate-stack model against contact with reality for the first time.
H	Handoff		3	5	adequate	Q8 — Channel adapter spec / WhatsApp adapter PoC (second L2 implementation beyond MCP)	Substantial scope; own planning session. After Q7 lands, the L2 contract is defined by one wrapper (MCP) and the substrate-stack model. Building a second L2 implementation (WhatsApp candidate per 2026-05-09 session: large reach, message-based shape, tests casual-user path) empirically grounds the L2 abstraction. Once shipped, the canon-driven-agent-wrapper pattern has two implementations — the abstraction layer can be canonized (klappy.dev pattern doc TBD), and Q9-onwards (third+ adapter) become genuine community contributions. Estimated effort: full multi-session project. Lower priority than Q5-Q7; required to substantiate the BYOC user-facing promise long-term.
H	Handoff		3	5	adequate	Standing: unrotated credentials hygiene flag	Per project memory and multiple prior session flags: GitHub PAT and Anthropic API key in project instructions remain unrotated. Operator-side action only; not a blocker for any queued work. Re-flagged here for completeness. Rotation belongs to the operator outside any code session.
