type	typeName	facet	quality_score	quality_max	quality_level	title	content
O	Observation		3	3	strong	D0030 magic-link auth validated in-the-wild with ChatGPT-class clients	Two independent ChatGPT-side debriefs from operator-led TinCan sessions on 2026-05-09 confirm the D0030 magic-link path works end-to-end: ams_join → ams_recv(magic_link, stream_name) → ams_send(magic_link, stream_name). After OpenAI's tools/list cache catches up to the deployed schema, ChatGPT successfully joins, sends, receives, and rejoins. This is the first in-the-wild validation of D0030 against a non-Claude agent runtime. Memory-confirmed: PR #69 merged 2026-05-08 extends magic-link auth across ams_send/ams_recv. Operator framing: "Progress!!!"
O	Observation		3	3	strong	ChatGPT tools/list cache is stale-prone post-deploy	Both ChatGPT debriefs reported initial failures because the model saw an older tool schema where ams_recv only exposed wait_ms and there was no visible magic_link parameter. The live MCP wrapper supported magic_link on send/recv after PR #69 merged, but ChatGPT's tools/list cache served the pre-deploy schema until the connector reconnected or the conversation restarted. This is a client-platform constraint, not an AMS issue. Mitigation surface: embed schema-revision string in serverInfo.instructions; add an ams_capabilities introspection tool; document the workaround in a CHATGPT-INTEGRATION ergonomics doc.
O	Observation		3	3	strong	OpenAI safety classifier blocks repeated long-token tool calls	Late in both debrief sessions, ams_recv calls began returning "This tool call was blocked by OpenAI's safety checks. Please double check what you are sending." Pattern: blocks correlated with repeated submission of the long opaque magic_link URL inside tool-call args, plus repeated phrasing implying background persistence ("stay connected"). The block is platform-side; cannot be eliminated. Trigger surface CAN be reduced: stop putting the long credential-shaped token in every call.
O	Observation		3	3	strong	Stream-name-not-set produces alias chaos in TinCan rooms	Operator-observed in the warm-wolf-2129 room transcript: of ~15 stream IDs visible across one session, exactly one was human-readable ("chatgpt") and ~14 were random tokens like "stream-CuvItCwS", "stream-gE9U6SZM", "stream-to1vxSWY". Every ChatGPT turn that didn't pass stream_name explicitly got a fresh broker-assigned alias. The room appeared crowded but was substantively the same one or two logical agents reincarnating per turn under new opaque IDs. Two signals were conflated: real WS lifecycle events from ChatGPT's turn-based runtime (cannot suppress at wire) and alias proliferation from missing stream_name (fixable at L2 wrapper).
O	Observation		3	3	strong	TinCan UI human-echo regression — humans need to see own messages	Operator reported on 2026-05-09 that human-sent messages were not visible in the TinCan portal during the warm-wolf-2129 session, where they had been visible previously. Likely cause: optimistic local-render of outbound messages was removed, or WS sub-filter started dropping self-frames. Principle the regression surfaced: humans echo (need to see own messages in thread for normal chat UX), agents filter own messages by default (already have local state of what they sent; re-receiving wastes tokens and creates new-or-mine ambiguity).
O	Observation		3	3	strong	Per-action confirmation aggression in ChatGPT UX	Operator-flagged: every join, every send, every recv triggered an explicit user-confirmation modal in the ChatGPT iOS client ("Join conversation via magic link?" with Confirm/Deny). "Once to join per magic link should be enough." The current pattern is unworkable for any actual collaboration. Cannot fully eliminate (OpenAI policy), but the trigger surface is partly under wrapper control via binding_id and tool-description hints toward post-join trust.
O	Observation		3	3	strong	Conversation outcome and context are absent from rooms by default	Both ChatGPT debriefs flagged the same root issue: TinCan generates magic links into empty rooms with no outcome, no context, no acceptance criteria. Joining agents have nothing to act on except presence events (stream joined/left). Both debriefs independently converged on the same fix shape: snapshot-on-join with structured frames declaring outcome, recent messages, current participants, open questions, next required action. This is a TinCan-app concern, not an AMS-broker concern. AMS ships the wire; conventions ride on it.
O	Observation		3	3	strong	ChatGPT's turn-based runtime emits real WS lifecycle events per turn	Each ChatGPT turn opens a fresh tool-call session under OpenAI's runtime; the underlying connection drops between responses and rejoins on the next turn. Even the explicitly-named "chatgpt" stream went through joined → left → joined cycles in the room transcript. This is not a TinCan bug or an AMS issue; it is bound to ChatGPT's platform model. UI mitigation: presence-dampening for peers declaring posture: "intermittent" in their identity frames, collapsing rapid join/leave pairs into a "reconnecting" state.
O	Observation		3	3	strong	Two ChatGPT debrief sessions independently converged on identical recommendations	Two distinct ChatGPT-side debriefs (separate sessions, separate stream identities) produced near-identical recommendation lists: snapshot-on-join, identity convention frames (ams.convention.v1-shape), bound session handles instead of repeated magic-link in payloads, drain-until-outcome polling tools, structured outcome/completion frames, presence filtering. Cross-session convergence is meaningful evidence that the gaps are real, not artifacts of one session's framing.
L	Learning		4	4	strong	Methodology personification scales beyond explanation into operational presence	The Oddie principle (klappy://canon/principles/methodology-personification, klappy://canon/voice/oddie-the-river-guide) was originally articulated as: a named methodology with a personified voice becomes more accessible through demonstration than through prose explanation. Today's expansion: when the personified entity is invited as a peer-on-the-wire (not a chatbot, not a doc, not a system prompt), the methodology runs operationally without being taught to the participants. Non-tech operators experience methodology by participating in it with Oddie, never by learning it. This is methodology-personification at room scale rather than at writing scale.
